0.00-22.85 press up
0.06 steer -2189
0.08 steer -2780
0.09 steer -3965
0.11 steer -2780
0.12 steer -2189
0.13 steer -1005
0.14 steer -3965
0.15 steer -4556
0.16 steer -3965
0.17 steer -2780
0.18 steer -4556
0.19 steer -5740
0.20 steer -6331
0.22 steer -8109
0.23 steer -7516
0.24 steer -9292
0.25 steer -8109
0.36 steer -10476
0.37 steer -11069
0.39 steer -9292
0.40 steer -10476
0.41 steer -11069
0.52 steer -12252
0.56 steer -12845
0.65 steer -14029
0.66 steer -12252
0.68 steer -14029
0.69 steer -12845
0.70 steer -12252
0.71 steer -14029
0.72 steer -12252
0.73 steer -14029
0.75 steer -12252
0.80 steer -14029
0.93 steer -14621
0.94 steer -14029
0.99 steer -12845
1.00 steer -12252
1.01 steer -11069
1.09 steer -6331
1.11 steer 0
1.22 steer 1616
1.23 steer 3838
1.24 steer 6618
1.25 steer 14956
1.26 steer 16623
1.27 steer 18847
1.28 steer 19959
1.29 steer 18292
1.31 steer 17178
1.32 steer 12176
1.33 steer 9398
1.34 steer 2171
1.35 steer 1060
1.36 steer 0
1.86 steer -2780
1.89 steer -5740
1.91 steer -7516
1.93 steer -8109
1.94 steer -9292
1.95 steer -10476
1.98 steer -9292
1.99 steer -10476
2.00 steer -11069
2.01 steer -9292
2.02 steer -11069
2.04 steer -12845
2.05 steer -14029
2.07 steer -14621
2.08 steer -15805
2.10 steer -16396
2.11 steer -17581
2.18 steer -18172
2.19 steer -16396
2.39 steer -15805
2.42 steer -14621
2.46 steer -14029
2.47 steer -12252
2.48 steer -7516
2.50 steer -1005
2.51 steer 0
2.69 steer 1060
2.70 steer 0
2.71 steer 1060
2.80 steer 1616
2.85 steer 2171
2.88 steer 3282
2.90 steer 4396
2.91 steer 5507
2.92 steer 6063
2.93 steer 3838
2.95 steer 4396
2.96 steer 5507
2.98 steer 6063
3.00 steer 6618
3.02 steer 7729
3.03 steer 8285
3.04 steer 9954
3.06 steer 11621
3.07 steer 9954
3.08 steer 11621
3.11 steer 12176
3.13 steer 10509
3.14 steer 12176
3.15 steer 10509
3.19 steer 12176
3.20 steer 12732
3.23 steer 13845
3.24 steer 14401
3.25 steer 12732
3.26 steer 14401
3.27 steer 14956
3.28 steer 16067
3.30 steer 16623
3.31 steer 18292
3.33 steer 18847
3.34 steer 19959
3.38 steer 20514
3.39 steer 18847
3.41 steer 20514
3.42 steer 21070
3.43 steer 22181
3.44 steer 22739
3.45 steer 21070
3.56 steer 22739
3.81 steer 21070
3.82 steer 20514
3.83 steer 19959
3.84 steer 16067
3.85 steer 12176
3.86 steer 3282
3.87 steer 1616
3.88 steer 0
4.05 steer -2189
4.06 steer -1005
4.07 steer -3965
4.10 steer -2189
4.14 steer 0
4.97 steer 1060
4.99 steer 1616
5.00 steer 2171
5.01 steer 3838
5.02 steer 7729
5.03 steer 10509
5.04 steer 12732
5.05 steer 14401
5.06 steer 17178
5.07 steer 18292
5.08 steer 18847
5.09 steer 19959
5.10 steer 20514
5.12 steer 19959
5.13 steer 18847
5.15 steer 16067
5.16 steer 14401
5.17 steer 11621
5.18 steer 9954
5.19 steer 8285
5.20 steer 7729
5.21 steer 6063
5.22 steer 1616
5.23 steer 1060
5.24 steer 0
5.39 steer -9292
5.40 steer -14029
5.41 steer -18172
5.42 steer -24685
5.43 steer -30606
5.44 steer -35935
5.45 steer -43039
5.46 steer -60800
5.47 steer -64944
5.73 steer -60800
5.74 steer -44222
5.75 steer -35935
5.76 steer -28237
5.77 steer -22316
5.78 steer 0
5.95 steer 1060
5.96 steer 1616
5.98 steer 3282
5.99 steer 4396
6.00 steer 5507
6.01 steer 6618
6.02 steer 8285
6.03 steer 11621
6.04 steer 12732
6.05 steer 13845
6.06 steer 16067
6.07 steer 16623
6.09 steer 17178
6.14 steer 14956
6.16 steer 14401
6.17 steer 12732
6.18 steer 9398
6.19 steer 6618
6.20 steer 3838
6.21 steer 1616
6.22 steer 0
7.24 steer 1060
7.25 steer 1616
7.26 steer 2171
7.28 steer 3282
7.29 steer 5507
7.30 steer 6618
7.31 steer 7729
7.32 steer 9954
7.33 steer 10509
7.34 steer 13845
7.35 steer 14956
7.37 steer 16067
7.38 steer 17178
7.39 steer 18292
7.42 steer 18847
7.44 steer 17178
7.45 steer 16623
7.52 steer 16067
7.53 steer 12732
7.54 steer 12176
7.55 steer 9954
7.56 steer 9398
7.57 steer 8285
7.68 steer 9954
7.69 steer 8285
7.70 steer 6618
7.71 steer 6063
7.75 steer 7729
7.77 steer 8285
7.78 steer 12176
7.79 steer 12732
7.82 steer 10509
7.83 steer 8285
7.84 steer 6618
7.85 steer 6063
7.86 steer 4396
7.87 steer 3838
7.89 steer 2171
7.92 steer 1616
7.94 steer 1060
7.97 steer 0
8.04 steer 1060
8.05 steer 0
8.08 steer 1060
8.10 steer 0
8.14 steer 1616
8.24 steer 2171
8.25 steer 3282
8.26 steer 3838
8.41 steer 2171
8.42 steer 0
8.91 steer -2189
8.93 steer -3965
8.94 steer -1005
8.95 steer -2189
8.96 steer -3965
8.97 steer -4556
9.02 steer -2780
9.03 steer -4556
9.04 steer -2780
9.08 steer -2189
9.09 steer 0
9.15 steer -2189
9.22 steer -3965
9.23 steer -2780
9.27 steer -4556
9.29 steer -5740
9.37 steer -6331
9.38 steer -3965
9.39 steer -5740
9.40 steer -6331
9.41 steer -7516
9.48 steer -5740
9.53 steer -7516
9.55 steer -9292
9.56 steer -8109
9.58 steer -10476
9.61 steer -8109
9.62 steer -7516
9.81 steer -9292
9.82 steer -10476
9.85 steer -11069
9.89 steer -9292
9.91 steer -10476
9.93 steer -9292
9.94 steer -8109
10.00 steer -10476
10.01 steer -11069
10.02 steer -12252
10.04 steer -12845
10.14 steer -14621
10.15 steer -15805
10.25 steer -16396
10.27 steer -18172
10.28 steer -19356
10.31 steer -17581
10.32 steer -16396
10.36 steer -12845
10.37 steer -4556
10.39 steer 0
10.70 steer -4556
10.71 steer -8109
10.72 steer -10476
10.73 steer -12845
10.74 steer -15805
10.75 steer -18172
10.76 steer -19356
10.77 steer -20541
10.78 steer -22316
10.79 steer -22910
10.84 steer -24094
10.86 steer -24685
10.87 steer -25870
10.88 steer -26461
10.89 steer -27645
10.90 steer -28237
10.91 steer -29421
11.01 steer -30606
11.02 steer -31197
11.04 steer -32381
11.16 steer -32975
11.34 steer -30606
11.35 steer -27645
11.36 steer -24094
11.37 steer -22316
11.38 steer -10476
11.39 steer -3965
11.40 steer 0
11.51 steer 1616
11.52 steer 2171
11.54 steer 3282
11.55 steer 4396
11.56 steer 5507
11.57 steer 6618
11.58 steer 11621
11.59 steer 14401
11.60 steer 17178
11.61 steer 20514
11.62 steer 24961
11.63 steer 25517
11.64 steer 26628
11.66 steer 24961
11.67 steer 26628
11.69 steer 27185
11.74 steer 28297
11.80 steer 28852
11.92 steer 27185
11.95 steer 26628
11.96 steer 23294
11.97 steer 20514
11.98 steer 13845
11.99 steer 9398
12.00 steer 3838
12.01 steer 1616
12.02 steer 0
12.17 steer 1060
12.19 steer 1616
12.20 steer 2171
12.21 steer 4396
12.22 steer 9954
12.23 steer 11621
12.24 steer 13845
12.25 steer 16067
12.26 steer 16623
12.27 steer 18292
12.28 steer 19959
12.30 steer 20514
12.32 steer 21070
12.33 steer 22181
12.34 steer 23294
12.35 steer 24961
12.36 steer 25517
12.37 steer 28852
12.39 steer 31074
12.47 steer 27185
12.48 steer 25517
12.49 steer 22181
12.50 steer 16623
12.51 steer 13845
12.52 steer 11621
12.53 steer 8285
12.54 steer 1616
12.55 steer 0
12.57 steer 1060
12.58 steer 0
13.01 steer 1060
13.03 steer 2171
13.04 steer 3282
13.05 steer 4396
13.06 steer 8285
13.07 steer 10509
13.08 steer 12732
