0.00-24.08 press up
11.61 steer 32573
11.62 steer 32752
11.63 steer 32883
11.64 steer 33225
11.65 steer 33557
11.66 steer 33931
11.67 steer 34762
11.68 steer 35340
11.69 steer 35938
11.70 steer 36484
11.71 steer 37042
11.72 steer 38126
11.73 steer 38571
11.74 steer 38993
11.75 steer 40071
11.76 steer 40893
11.77 steer 41670
11.78 steer 42427
11.79 steer 43154
11.80 steer 44402
11.81 steer 44975
11.82 steer 45608
11.83 steer 47347
11.84 steer 48200
11.85 steer 49058
11.86 steer 49863
11.87 steer 50668
11.88 steer 51459
11.89 steer 52239
11.90 steer 53707
11.91 steer 54331
11.92 steer 54884
11.93 steer 55352
11.94 steer 56152
11.95 steer 56526
11.96 steer 57065
11.97 steer 58911
11.98 steer 59891
11.99 steer 60767
12.00 steer 61508
12.01 steer 65536
14.11 steer 64302
14.12 steer 61753
14.13 steer 42464
14.14 steer 21883
14.15 steer 19619
14.16 steer 0
14.30 steer 4004
14.31 steer 20644
14.32 steer 20903
14.33 steer 22183
14.34 steer 23465
14.35 steer 24654
14.36 steer 25956
14.37 steer 27163
14.38 steer 29071
14.39 steer 29775
14.40 steer 30365
14.41 steer 31216
14.42 steer 31532
14.43 steer 31784
14.44 steer 31986
14.45 steer 32174
14.46 steer 32608
14.47 steer 33064
14.48 steer 33700
14.49 steer 35723
14.50 steer 36730
14.52 steer 39418
14.53 steer 40652
14.54 steer 41707
14.55 steer 43285
14.56 steer 43879
14.57 steer 44381
14.58 steer 44769
14.59 steer 45081
14.60 steer 45328
14.61 steer 45686
14.62 steer 45815
14.63 steer 45916
14.64 steer 46062
14.66 steer 46145
14.70 steer 46285
15.00 steer 46365
15.02 steer 46755
15.03 steer 47152
15.04 steer 47858
15.05 steer 49746
15.07 steer 65536
15.81 steer 65130
15.82 steer 63171
15.83 steer 0
15.85 steer -44390
15.86 steer -65536
15.95 steer -63664
15.96 steer 20371
15.97 steer 22883
15.98 steer 20062
15.99 steer -8428
16.00 steer -7192
16.01 steer 0
16.33-16.45 press down
16.62 steer -1029
16.63 steer -2644
16.64 steer -6437
16.65 steer -8495
16.66 steer -10589
16.67 steer -12649
16.68 steer -14653
16.69 steer -18176
16.70 steer -19578
16.71 steer -20750
16.72 steer -22527
16.73 steer -23121
16.74 steer -23571
16.75 steer -23945
16.76 steer -24245
16.77 steer -24688
16.78 steer -24789
16.80 steer -23420
16.81 steer -21777
16.82 steer -19559
16.83 steer -2139
16.84 steer -660
16.85 steer 0
17.75 steer -2862
17.76 steer -4908
17.77 steer -6809
17.78 steer -8752
17.79 steer -10545
17.80 steer -13883
17.81 steer -15454
17.82 steer -16993
17.83 steer -19495
17.84 steer -20442
17.85 steer -21197
17.86 steer -21823
17.87 steer -22312
17.88 steer -22915
17.90 steer -22367
17.91 steer -21335
17.92 steer -17052
17.93 steer 0
18.52 steer -2300
18.53 steer -4208
18.54 steer -8130
18.55 steer -10307
18.56 steer -12559
18.57 steer -14809
18.58 steer -19027
18.59 steer -20986
18.60 steer -22670
18.61 steer -24197
18.62 steer -26862
18.63 steer -27938
18.64 steer -28876
18.65 steer -29651
18.66 steer -30862
18.67 steer -31381
18.68 steer -31743
18.69 steer -32314
18.71 steer -32762
18.72 steer -32924
18.73 steer -33158
18.74 steer -33333
18.75 steer -33445
18.76 steer -33562
18.77 steer -33668
18.79 steer -33133
18.80 steer -31383
18.81 steer -30016
18.82 steer -28743
18.83 steer -25982
18.85 steer -23585
18.86 steer -22413
18.87 steer -20532
18.88 steer -19672
18.89 steer -18702
18.90 steer -17584
18.91 steer -16378
18.92 steer -11431
18.93 steer 0
19.92 steer -997
19.93 steer -2937
19.94 steer -4905
19.95 steer -6846
19.96 steer -11068
19.97 steer -13238
19.98 steer -15419
19.99 steer -17484
20.00 steer -21424
20.01 steer -23172
20.02 steer -25046
20.03 steer -27060
20.04 steer -32057
20.05 steer -35005
20.06 steer -50253
20.07 steer -51572
20.08 steer -65536
20.43 steer -64847
20.44 steer -63790
20.45 steer -62538
20.46 steer -61143
20.47 steer -57460
20.48 steer -55138
20.49 steer -52776
20.50 steer -34805
20.51 steer -31911
20.52 steer -6912
20.53 steer -4102
20.54 steer 0
20.99 steer -969
21.00 steer -3157
21.01 steer -6683
21.02 steer -8018
21.03 steer -9098
21.04 steer -10662
21.05 steer -11263
21.06 steer -11745
21.07 steer -12130
21.08 steer -12683
21.09 steer -12855
21.10 steer -13004
21.11 steer -13112
21.13 steer -13240
21.15 steer -12185
21.16 steer -8660
21.17 steer -6508
21.18 steer -4396
21.19 steer -862
21.20 steer 0
21.32 steer 1692
21.33 steer 21238
21.34 steer 21442
21.35 steer 22566
21.36 steer 23860
21.37 steer 25931
21.38 steer 26649
21.39 steer 27060
21.40 steer 26174
21.41 steer 25000
21.42 steer 0
22.42 steer 988
22.43 steer 2146
22.44 steer 3157
22.45 steer 4091
22.46 steer 5171
22.47 steer 7011
22.48 steer 7729
22.49 steer 8332
22.50 steer 9174
22.51 steer 9474
22.52 steer 9715
22.53 steer 9921
22.54 steer 10087
22.55 steer 10325
22.57 steer 10456
22.59 steer 10575
22.64 steer 10687
22.73 steer 10887
22.74 steer 11415
22.75 steer 11814
22.76 steer 12132
22.77 steer 12387
22.78 steer 12988
22.79 steer 13293
22.80 steer 13798
22.81 steer 14325
22.82 steer 14954
22.83 steer 16527
22.84 steer 17279
22.85 steer 17908
22.86 steer 18424
22.87 steer 18837
22.88 steer 19442
22.89 steer 19665
22.90 steer 19885
22.91 steer 20241
22.92 steer 20387
22.93 steer 20546
22.94 steer 20938
22.95 steer 21135
22.96 steer 21332
22.97 steer 21626
22.98 steer 22628
22.99 steer 24030
23.00 steer 25885
23.01 steer 44725
23.02 steer 45691
23.03 steer 47936
23.04 steer 63251
23.05 steer 65536
23.28 steer 61829
23.29 steer 42381
23.30 steer 17378
23.31 steer -4903
23.32 steer 0
23.86 steer 1784
23.87 steer 20910
23.88 steer 25062
23.89 steer 45948
23.90 steer 64928
23.91 steer 65536
24.10 steer 64191
24.11 steer 46156
24.12 steer 28452
24.13 steer 0
24.16 steer -17917
24.17 steer -47716
24.18 steer -63474
24.20 steer -63733
24.20-28.77 press up
24.21 steer -64035
24.22 steer -65536
25.28 steer -65230
25.29 steer -62811
25.30 steer -61113
25.31 steer -58870
25.32 steer -55120
25.33 steer -53751
25.34 steer -52654
25.35 steer -51778
25.36 steer -50521
25.37 steer -50033
25.38 steer -49551
25.39 steer -49049
25.40 steer -48347
25.41 steer -46753
25.42 steer -44996
25.43 steer -42700
25.44 steer -25690
25.45 steer -22986
25.46 steer -1082
25.47 steer 0
25.95 steer 900
25.96 steer 21665
25.97 steer 23906
25.98 steer 62189
25.98-26.06 press down
25.99 steer 65536
26.38 steer 64549
26.39 steer 62019
26.40 steer 41608
26.41 steer 18972
26.42 steer 17045
26.43 steer 14385
26.44 steer 11440
26.45 steer 11722
26.46 steer 13786
26.47 steer 34773
26.48 steer 37257
26.49 steer 65536
27.08 steer 65308
27.09 steer 47026
27.10 steer 21192
27.11 steer -21291
27.12 steer -47014
27.13 steer -48760
27.14 steer -52414
27.16 steer -55744
27.17 steer -57487
27.18 steer -59054
27.19 steer -65536
27.24 steer -65141
27.25 steer -43487
27.26 steer -41794
27.27 steer -24658
27.28 steer -21954
27.29 steer 0
27.79 steer 18642
27.80 steer 19341
27.81 steer 21715
27.82 steer 39819
27.83 steer 59804
27.84 steer 65536
28.77 steer 36470
28.79 steer 1332
28.80 steer -44776
28.81 steer -60097
28.82 steer -60389
28.83 steer -61776
28.84 steer -62444
28.85 steer -62978
28.86 steer -63446
28.87 steer -65536
29.57-46.79 press up
30.40 steer -64719
30.41 steer -43535
30.42 steer -40851
30.43 steer -13385
30.44 steer 0
30.46 steer 12548
30.47 steer 14506
30.48 steer 39074
30.49 steer 65536
32.28 steer 64735
32.29 steer 63118
32.30 steer 60212
32.31 steer 41067
32.32 steer 8174
32.33 steer -5208
32.34 steer -4291
32.35 steer 0
32.74 steer 1316
32.75 steer 2428
32.76 steer 3373
32.77 steer 4914
32.78 steer 5557
32.79 steer 6155
32.80 steer 6662
32.81 steer 7490
32.82 steer 7784
32.83 steer 8061
32.84 steer 8311
32.85 steer 8781
32.86 steer 9054
32.87 steer 9341
32.88 steer 9598
32.89 steer 9981
32.90 steer 10153
32.91 steer 10428
32.92 steer 10830
32.93 steer 11770
32.94 steer 12096
32.95 steer 12412
32.96 steer 12802
32.97 steer 13254
32.98 steer 14433
32.99 steer 15178
33.00 steer 16006
33.01 steer 16821
33.02 steer 17527
33.03 steer 18094
33.04 steer 18933
33.05 steer 19245
33.06 steer 19509
33.07 steer 19853
33.08 steer 19981
33.09 steer 20082
33.11 steer 20339
33.15 steer 20509
33.27 steer 18892
33.28 steer 17575
33.29 steer 16107
33.30 steer 13889
33.31 steer 0
33.46 steer 1125
33.47 steer 5492
33.48 steer 8382
33.49 steer 11011
33.50 steer 13222
33.51 steer 17552
33.52 steer 19782
33.53 steer 21892
33.54 steer 23947
33.55 steer 25741
33.56 steer 27257
33.57 steer 28578
33.58 steer 30917
33.59 steer 31940
33.60 steer 32961
33.61 steer 34945
33.62 steer 35934
33.63 steer 36792
33.64 steer 37574
33.65 steer 39659
33.66 steer 40757
33.67 steer 41755
33.68 steer 42636
33.69 steer 44062
33.70 steer 44643
33.71 steer 45120
33.72 steer 45542
33.73 steer 45906
33.74 steer 46445
33.75 steer 46643
33.76 steer 46787
33.77 steer 47037
33.78 steer 47170
33.79 steer 47264
33.81 steer 47462
33.82 steer 48010
33.83 steer 48684
33.84 steer 49652
33.85 steer 51067
33.86 steer 54352
33.87 steer 56320
33.88 steer 65536
34.05 steer 65084
34.06 steer 64613
34.08 steer 62620
34.09 steer 61712
34.10 steer 60971
34.11 steer 59843
34.12 steer 59423
34.13 steer 59086
34.14 steer 58790
34.15 steer 58540
34.16 steer 58168
34.17 steer 58028
34.18 steer 57918
34.19 steer 57769
34.21 steer 57664
34.25 steer 58333
34.26 steer 59467
34.27 steer 65536
34.39 steer 63705
34.40 steer 47952
34.41 steer 46092
34.42 steer 23346
34.43 steer 20926
34.44 steer 0
34.47 steer 2534
34.48 steer 22415
34.49 steer 47583
34.50 steer 50161
34.51 steer 65536
34.59 steer 65313
34.60 steer 64974
34.61 steer 43358
34.62 steer 3254
34.63 steer -14401
34.64 steer -13942
34.65 steer 0
35.08-35.17 press down
35.32 steer 1061
35.33 steer 2607
35.34 steer 4164
35.35 steer 5479
35.36 steer 6850
35.37 steer 9490
35.38 steer 11332
35.39 steer 13261
35.40 steer 16392
35.41 steer 17899
35.42 steer 19885
35.43 steer 21814
35.44 steer 25752
35.45 steer 27475
35.46 steer 29179
35.47 steer 30961
35.48 steer 32711
35.49 steer 35578
35.50 steer 37067
35.51 steer 39915
35.52 steer 41074
35.53 steer 42108
35.54 steer 43005
35.55 steer 44383
35.56 steer 44904
35.57 steer 45388
35.58 steer 45911
35.59 steer 46395
35.60 steer 47712
35.61 steer 48306
35.62 steer 48861
