0.00-13.04 press up
0.43 steer 1065
0.44 steer 5616
0.45 steer 9663
0.47 steer 10167
0.81 steer 2076
0.82 steer 0
1.07 steer 1318
1.08 steer 1065
1.13 steer 1318
1.19 steer 2582
1.20 steer 0
1.39 steer 1065
1.40 steer 4100
1.41 steer 8398
1.43 steer 9914
1.49 steer 6880
1.50 steer 5111
1.51 steer 811
1.52 steer 0
1.97 steer -805
1.99 steer -1311
2.06 steer 0
2.35 steer -1311
2.36 steer -2069
2.37 steer -3080
2.38 steer -2827
2.42 steer -3080
2.48 steer -1816
2.49 steer 0
2.82 steer -1311
2.83 steer -1562
2.84 steer -2322
2.85 steer -2827
2.94 steer -3080
2.96 steer -2827
2.99 steer 0
3.15 steer -1311
3.16 steer -2322
3.18 steer -3080
3.19 steer -3334
3.22 steer -3587
3.26 steer -3838
3.29 steer -1562
3.30 steer 0
3.48 steer -1058
3.50 steer -1311
3.52 steer -1562
3.55 steer -1311
3.58 steer -1562
3.61 steer -2827
3.64 steer -4345
3.68 steer -5609
3.72 steer -5860
3.74 steer -5609
3.97 steer -5860
3.99 steer -5609
4.02 steer -5860
4.03 steer -6367
4.04 steer -6620
4.05 steer -7885
4.06 steer -9907
4.07 steer -10412
4.09 steer -10918
4.18 steer -11425
4.26 steer -10918
4.28 steer -8643
4.29 steer -2069
4.30 steer 0
5.14 steer 1318
5.15 steer 10167
5.16 steer 13201
5.17 steer 15730
5.18 steer 16741
5.21 steer 16994
5.25 steer 14972
5.26 steer 8649
5.27 steer 4605
5.28 steer 2076
5.29 steer 811
5.30 steer 0
5.48 steer -1562
5.49 steer -2827
5.51 steer -3080
5.52 steer -3587
5.53 steer -4091
5.54 steer -4345
5.57 steer -4091
5.59 steer -4345
5.62 steer -4091
5.63 steer -1816
5.64 steer 0
5.76 steer 811
5.78 steer 1571
5.80 steer 1318
5.83 steer 1571
5.84 steer 0
6.35 steer 1065
6.36 steer 4100
6.37 steer 9914
6.39 steer 11178
6.42 steer 10420
6.43 steer 3594
6.44 steer 0
6.93 steer -2069
6.94 steer -4091
6.95 steer -5103
6.97 steer -5609
6.98 steer -6367
6.99 steer -7125
7.00 steer -10160
7.01 steer -12436
7.03 steer -13447
7.08 steer -12436
7.09 steer -9149
7.10 steer -8136
7.11 steer 0
7.19 steer -1058
7.20 steer -3838
7.21 steer -4598
7.22 steer -5860
7.23 steer -8389
7.24 steer -10412
7.25 steer -11676
7.26 steer -13952
7.39 steer -11425
7.41 steer -10412
7.42 steer -8896
7.43 steer -8136
7.44 steer -7378
7.45 steer -6874
7.46 steer -6114
7.47 steer -5609
7.48 steer -805
7.50 steer 0
7.55 steer -805
7.56 steer -2574
7.58 steer -4091
7.59 steer -4345
7.69 steer -805
7.70 steer 0
8.62 steer -1562
8.64 steer -4849
8.66 steer -5860
8.67 steer -6874
8.68 steer -7885
8.73 steer -7632
8.75 steer -7885
8.78 steer -7632
8.79 steer -7885
8.80 steer -7632
8.83 steer -7885
8.84 steer -7125
8.85 steer -5103
8.87 steer 0
9.01 steer -1311
9.03 steer -3080
9.04 steer -2827
9.07 steer -3334
9.13 steer -1816
9.15 steer 0
10.06 steer -2069
10.07 steer -3587
10.08 steer -4091
10.09 steer -4598
10.10 steer -5609
10.15 steer -5860
10.21 steer -5609
10.23 steer -5860
10.24 steer -5609
10.25 steer -5860
10.28 steer -4345
10.29 steer 0
10.51 steer -1562
10.52 steer -2827
10.53 steer -3587
10.54 steer -4345
10.60 steer -4598
10.65 steer -4091
10.66 steer 0
11.46 steer 11685
11.47 steer 14212
11.48 steer 18259
11.49 steer 22556
11.50 steer 24579
11.51 steer 29383
11.52 steer 30901
11.53 steer 32670
11.55 steer 33428
11.58 steer 33175
11.60 steer 31406
11.62 steer 22050
11.63 steer 9663
11.64 steer 5363
11.65 steer 2582
11.66 steer 0
11.78 steer 811
11.79 steer 1825
11.80 steer 9914
11.81 steer 12189
11.82 steer 13454
11.83 steer 13707
11.87 steer 9663
11.88 steer 3847
11.89 steer 2329
11.90 steer 0
12.19 steer 1318
12.20 steer 2329
12.21 steer 6123
12.22 steer 11938
12.23 steer 13454
12.24 steer 16741
12.25 steer 17501
12.30 steer 16236
12.31 steer 9914
12.32 steer 6123
12.33 steer 1065
12.34 steer 0
12.48 steer -1816
12.49 steer -3838
12.50 steer -13194
12.52 steer -30134
12.53 steer -37972
12.54 steer -55417
12.55 steer -61991
12.56 steer -65536
13.59-14.02 press up
14.06 press up
16.34 steer -38477
16.35 steer -17745
16.36 steer -6114
16.37 steer -805
16.38 steer 0
16.51 steer -1816
16.52 steer -2069
16.53 steer -2827
16.55 steer -3080
16.56 steer -3838
16.57 steer -5103
16.59 steer -8136
16.60 steer -14205
16.61 steer -16987
16.62 steer -23308
16.63 steer -25330
16.64 steer -27859
16.65 steer -28870
16.66 steer -29123
16.69 steer -28870
16.71 steer -20021
16.73 steer -8136
16.74 steer -3838
16.75 steer 0
16.85 steer -3080
16.87 steer -3838
16.88 steer -4849
16.89 steer -5356
16.90 steer -8389
16.91 steer -10918
16.92 steer -12436
16.93 steer -14458
16.94 steer -19010
16.95 steer -22296
16.97 steer -25076
16.98 steer -26594
17.02 steer -26848
17.06 steer -22296
17.07 steer -16734
17.08 steer -10918
17.09 steer -9907
17.14 steer -14205
17.15 steer -17998
17.16 steer -19514
17.17 steer -24065
17.18 steer -28870
17.20 steer -33168
17.21 steer -34937
17.22 steer -40753
17.23 steer -42017
17.24 steer -43028
17.26 steer -43281
17.31 steer -43028
17.32 steer -42017
17.33 steer -40499
17.34 steer -38730
17.35 steer -36961
17.36 steer -33675
17.37 steer -32915
17.39 steer -30892
17.40 steer -29628
17.41 steer -27605
17.42 steer -26594
17.45 steer -26848
17.57 steer -30639
17.58 steer -31903
17.59 steer -33168
17.60 steer -34432
17.62 steer -36961
17.70 steer -36201
17.71 steer -32410
17.72 steer -26848
17.73 steer -7885
17.74 steer -6620
17.75 steer -3838
17.76 steer 0
18.00 steer -3080
18.01 steer -5356
18.02 steer -6874
18.03 steer -10918
18.04 steer -14458
18.05 steer -16481
18.06 steer -17492
18.07 steer -17998
18.08 steer -18756
18.16 steer -15216
18.17 steer -7885
18.18 steer -6620
18.19 steer -5103
18.20 steer 0
18.42 steer -1816
18.45 steer -2827
18.46 steer -4849
18.47 steer -5860
18.48 steer -10918
18.49 steer -12183
18.50 steer -12436
18.55 steer -10665
18.56 steer -6620
18.57 steer 0
18.87 steer 1825
18.88 steer 5616
18.89 steer 10167
18.95 steer 10420
18.96 steer 3087
18.98 steer 1318
18.99 steer 0
19.30 steer 3087
19.31 steer 7638
19.32 steer 10167
19.33 steer 12949
19.34 steer 14972
19.35 steer 15225
19.40 steer 11938
19.41 steer 5616
19.42 steer 2582
