0.00-18.73 press up
0.19 steer -1147
0.20 steer -1954
0.21 steer -3402
0.22 steer -4098
0.23 steer -4854
0.24 steer -5487
0.25 steer -6716
0.26 steer -7358
0.27 steer -8000
0.28 steer -8543
0.29 steer -8963
0.30 steer -9605
0.31 steer -9867
0.32 steer -10049
0.33 steer -10223
0.34 steer -10540
0.35 steer -10718
0.36 steer -11065
0.37 steer -11234
0.39 steer -11481
0.40 steer -11641
0.44 steer -11809
0.58 steer -11974
0.59 steer -12165
0.61 steer -12452
0.62 steer -12669
0.63 steer -13241
0.64 steer -13485
0.65 steer -13681
0.66 steer -13854
0.67 steer -14167
0.69 steer -14381
0.71 steer -14563
0.76 steer -14714
1.15 steer -14172
1.16 steer -12856
1.17 steer -10412
1.18 steer 0
1.21 steer 1089
1.22 steer 19285
1.23 steer 19950
1.24 steer 20907
1.25 steer 21772
1.26 steer 23030
1.27 steer 23488
1.28 steer 23852
1.29 steer 24112
1.31 steer 23176
1.32 steer 21945
1.33 steer 19179
1.34 steer 18007
1.35 steer 17054
1.36 steer 16252
1.37 steer 15116
1.38 steer 14687
1.39 steer 14341
1.40 steer 14065
1.41 steer 13645
1.42 steer 13494
1.44 steer 13276
1.46 steer 13125
1.48 steer 12976
1.52 steer 12714
1.54 steer 11069
1.55 steer 9814
1.56 steer 7667
1.57 steer 6851
1.58 steer 6200
1.60 steer 5238
1.61 steer 4898
1.62 steer 4405
1.63 steer 4227
1.64 steer 4071
1.66 steer 3851
1.67 steer 3696
1.71 steer 3545
1.78 steer 3220
1.79 steer 1620
1.80 steer 867
1.81 steer 0
2.24 steer -1651
2.25 steer -4516
2.26 steer -5983
2.27 steer -7412
2.28 steer -10363
2.30 steer -12981
2.31 steer -14456
2.32 steer -15905
2.33 steer -19103
2.34 steer -20885
2.35 steer -22623
2.36 steer -24214
2.37 steer -26990
2.38 steer -28161
2.39 steer -29097
2.40 steer -29890
2.41 steer -31097
2.42 steer -31588
2.43 steer -31952
2.44 steer -32301
2.45 steer -33277
2.46 steer -33775
2.47 steer -34199
2.48 steer -34872
2.50 steer -35317
2.52 steer -35575
2.54 steer -35763
2.56 steer -35941
2.57 steer -36141
2.58 steer -36417
2.59 steer -36695
2.60 steer -36961
2.61 steer -37370
2.62 steer -37515
2.64 steer -37746
2.66 steer -37906
2.70 steer -38052
2.97 steer -37432
2.98 steer -36444
2.99 steer -35183
3.00 steer -30394
3.01 steer -14105
3.02 steer -12989
3.03 steer 0
3.49 steer 1758
3.50 steer 2480
3.51 steer 3242
3.52 steer 4067
3.53 steer 5969
3.54 steer 7127
3.55 steer 8338
3.56 steer 9658
3.57 steer 12985
3.58 steer 14598
3.59 steer 16172
3.60 steer 17758
3.61 steer 19143
3.62 steer 21147
3.63 steer 21852
3.64 steer 22414
3.65 steer 22881
3.66 steer 23541
3.67 steer 23808
3.68 steer 24076
3.69 steer 24339
3.70 steer 24819
3.72 steer 25505
3.73 steer 25863
3.74 steer 26277
3.75 steer 27119
3.76 steer 27452
3.77 steer 27717
3.79 steer 28077
3.80 steer 28308
3.84 steer 27970
3.86 steer 27668
3.87 steer 27510
3.88 steer 27181
3.90 steer 26985
3.91 steer 26825
3.94 steer 26648
3.96 steer 26214
3.97 steer 26019
3.98 steer 25792
3.99 steer 25412
4.01 steer 25185
4.03 steer 25034
4.06 steer 24870
4.40 steer 23830
4.41 steer 22121
4.42 steer 19763
4.43 steer 4885
4.44 steer 4071
4.45 steer 1745
4.46 steer 840
4.47 steer 0
4.58 steer 3807
4.59 steer 23256
4.60 steer 24819
4.61 steer 41417
4.62 steer 58017
4.63 steer 65536
4.89 steer 64684
4.90 steer 63918
4.91 steer 38226
4.92 steer 22263
4.93 steer 0
4.94 steer -2258
4.95 steer -35459
4.96 steer -50782
4.97 steer -65536
5.26 steer -59311
5.27 steer -31486
5.28 steer -8643
5.29 steer 2158
5.31 steer 26945
5.32 steer 46666
5.33 steer 63833
5.34 steer 65536
5.45 steer 64331
5.46 steer 63622
5.47 steer 40779
5.49 steer 1691
5.50 steer -1125
5.51 steer -20065
5.52 steer -37232
5.53 steer -52908
5.54 steer -65536
5.60 steer 27372
5.61 steer -8785
5.62 steer 10700
5.63 steer 8714
5.64 steer 4423
5.66 steer 1931
5.67 steer 1018
5.68 steer 0
5.95 steer 3076
5.96 steer 26277
5.97 steer 27514
5.98 steer 24774
5.99 steer 0
6.66 steer 1294
6.67 steer 1954
6.68 steer 2494
6.69 steer 3394
6.70 steer 3705
6.71 steer 3927
6.73 steer 4183
6.78 steer 3989
6.79 steer 3838
6.81 steer 3585
6.83 steer 3358
6.85 steer 3149
6.88 steer 2969
6.96 steer 2822
7.12 steer 2185
7.13 steer 1289
7.14 steer 0
7.40 steer 1151
7.41 steer 3358
7.42 steer 26619
7.43 steer 50782
7.44 steer 53531
7.45 steer 55817
7.46 steer 57644
7.47 steer 60358
7.48 steer 61333
7.49 steer 62113
7.50 steer 63253
7.51 steer 63667
7.52 steer 64011
7.53 steer 64273
7.54 steer 64509
7.55 steer 64840
7.57 steer 64518
7.58 steer 60824
7.59 steer 41346
7.60 steer 38490
7.61 steer 0
7.62 steer -8503
7.63 steer -23328
7.64 steer -25939
7.65 steer -51620
7.66 steer -65536
7.78 steer -58673
7.79 steer -32408
7.80 steer -11836
7.81 steer 0
7.83 steer 1705
7.84 steer 41559
7.85 steer 57662
7.86 steer 65536
7.89 steer 60075
7.90 steer 0
10.40 steer -2547
10.41 steer -4649
10.42 steer -6896
10.43 steer -9292
10.44 steer -11787
10.45 steer -14407
10.46 steer -29346
10.47 steer -29846
10.48 steer -30386
10.49 steer -31366
10.50 steer -31774
