0.00-6.34 press up
0.11 steer -2475
0.12 steer -1897
0.13 steer -740
0.15 steer 0
0.23 steer -740
0.24 steer -6525
0.25 steer -8839
0.26 steer -8260
0.28 steer -9996
0.30 steer -11733
0.31 steer -12312
0.32 steer -14626
0.33 steer -11733
0.34 steer -14047
0.35 steer -18097
0.36 steer -21568
0.39 steer -22146
0.40 steer -23303
0.43 steer -23882
0.61 steer -22146
0.74 steer -21568
1.26 steer -23303
1.28 steer -18675
1.29 steer -17518
1.30 steer -16361
1.31 steer -14626
1.32 steer -8260
1.33 steer 0
1.89 steer -2475
1.90 steer -3054
1.91 steer -740
1.92 steer 0
1.93 steer -3054
1.94 steer -8260
1.95 steer -2475
1.96 steer -8839
1.99 steer -9996
2.00 steer -8260
2.02 steer -7682
2.03 steer -9996
2.04 steer -10576
2.05 steer -12312
2.07 steer -14047
2.08 steer -12312
2.09 steer -9996
2.10 steer -12890
2.11 steer -14626
2.14 steer -12890
2.16 steer -11733
2.17 steer -14626
2.18 steer -14047
2.20 steer -16361
2.23 steer -17518
2.24 steer -16361
2.25 steer -18097
2.27 steer -16361
2.28 steer -18675
2.29 steer -20411
2.30 steer -22146
2.31 steer -23882
2.33 steer -24460
2.37 steer -23882
2.38 steer -25617
2.39 steer -27931
2.40 steer -31402
2.41 steer -30245
2.42 steer -33716
2.44 steer -34295
2.45 steer -35452
2.47 steer -36030
2.48 steer -37187
2.49 steer -38923
2.50 steer -39501
2.51 steer -40080
2.52 steer -41237
2.56 steer -42972
2.57 steer -43551
2.58 steer -41237
2.59 steer -41815
2.60 steer -43551
2.62 steer -44708
2.64 steer -45286
2.66 steer -45864
2.67 steer -43551
2.68 steer -41815
2.69 steer -41237
2.72 steer -42972
2.76 steer -41237
2.77 steer -40080
2.78 steer -43551
2.79 steer -44708
2.82 steer -41815
2.83 steer -43551
2.85 steer -42972
2.86 steer -44708
2.87 steer -42972
2.88 steer -41237
2.89 steer -40080
2.91 steer -41815
2.92 steer -38923
2.93 steer -37766
2.94 steer -34295
2.95 steer -33716
2.96 steer -33138
2.97 steer -31981
