0.00-20.31 press up
0.16 steer 1150
0.17 steer 1691
0.19 steer 2774
0.22 steer 3315
0.27 steer 3856
0.69 steer 4938
0.90 steer 3315
1.07 steer 2774
1.28 steer 1150
1.29 steer 0
1.43 steer 1691
1.44 steer 4938
1.45 steer 6561
1.47 steer 8725
1.48 steer 9266
1.50 steer 10349
1.52 steer 10890
1.59 steer 11431
1.62 steer 9266
1.66 steer 7643
1.67 steer 7102
1.68 steer 1691
1.70 steer 0
1.94 steer -1689
1.95 steer -2771
1.96 steer -4936
1.97 steer -6559
1.98 steer -8723
1.99 steer -10346
2.00 steer -10888
2.02 steer -9264
2.04 steer -8723
2.05 steer -7641
2.06 steer -4936
2.07 steer -1148
2.08 steer 0
2.26 steer -1689
2.27 steer -3854
2.28 steer -7641
2.29 steer -9264
2.30 steer -10346
2.31 steer -10888
2.33 steer -9264
2.35 steer -8723
2.36 steer -7641
2.38 steer -3313
2.39 steer 0
2.52 steer -1148
2.53 steer -1689
2.54 steer -3313
2.55 steer -6559
2.56 steer -7100
2.60 steer -5477
2.62 steer -4936
2.63 steer -2771
2.64 steer 0
2.78 steer -1148
2.79 steer -1689
2.80 steer -4936
2.81 steer -7100
2.82 steer -9264
2.83 steer -11429
2.84 steer -12511
2.85 steer -13052
2.93 steer -13593
2.94 steer -14675
2.96 steer -15216
2.99 steer -16839
3.00 steer -17380
3.01 steer -18462
3.02 steer -19004
3.03 steer -20086
3.15 steer -18462
3.23 steer -17380
3.35 steer -16839
3.36 steer -15216
3.37 steer -14675
3.48 steer -16298
3.49 steer -16839
3.50 steer -18462
3.51 steer -20086
3.52 steer -22250
3.53 steer -23873
3.54 steer -24414
3.55 steer -27661
3.56 steer -28743
3.57 steer -30366
3.58 steer -31989
3.59 steer -33612
3.60 steer -35777
3.61 steer -36318
3.67 steer -37400
3.68 steer -37941
3.75 steer -38482
3.77 steer -39564
3.78 steer -40105
3.86 steer -41187
3.87 steer -41728
3.89 steer -42270
3.91 steer -43352
3.92 steer -43893
4.20 steer -41187
4.21 steer -34695
4.22 steer -28202
4.23 steer -8723
4.24 steer -1148
4.25 steer 0
4.37 steer -1689
4.38 steer -6559
4.39 steer -11429
4.40 steer -18462
4.41 steer -21168
4.42 steer -24414
4.43 steer -30366
4.44 steer -32530
4.45 steer -33612
4.46 steer -34695
4.47 steer -37400
4.48 steer -39564
4.50 steer -41187
4.51 steer -41728
4.70 steer -40105
5.07 steer -30907
5.08 steer -27661
