0.00-29.35 press up
3.25 steer -13447
3.26 steer -14008
3.30 steer -11201
3.31 steer -1659
3.32 steer 0
3.58 steer -1098
3.59 steer -3343
3.60 steer -4466
3.62 steer -5027
3.66 steer -3343
3.68 steer -2220
3.69 steer -1659
3.70 steer 0
3.95 steer -1098
3.97 steer -1659
4.00 steer -2220
4.06 steer -3343
4.07 steer -1659
4.08 steer -3343
4.25 steer -3904
4.27 steer -4466
4.31 steer -5027
4.62 steer -6150
4.64 steer -6711
4.70 steer -7272
4.78 steer -7833
4.79 steer -6150
4.82 steer -7833
4.84 steer -8395
4.85 steer -9517
4.87 steer -10640
4.89 steer -11201
4.90 steer -12324
4.91 steer -12885
4.92 steer -14008
4.93 steer -14569
4.94 steer -16253
4.95 steer -17376
4.96 steer -18499
4.97 steer -19060
4.98 steer -19621
4.99 steer -20744
5.00 steer -22989
5.01 steer -24112
5.02 steer -25796
5.03 steer -28602
5.04 steer -29725
5.05 steer -31409
5.06 steer -31970
5.07 steer -33093
5.08 steer -35900
5.10 steer -38145
5.11 steer -40390
5.12 steer -40951
5.13 steer -42074
5.14 steer -44319
5.15 steer -47687
5.16 steer -48810
5.17 steer -49933
5.19 steer -51616
5.20 steer -52178
5.21 steer -53300
5.22 steer -53862
5.23 steer -54984
5.25 steer -57230
5.26 steer -58352
5.27 steer -59475
5.28 steer -62282
5.29 steer -63404
5.30 steer -64527
5.31 steer -65536
5.47 steer -63404
5.48 steer -53300
5.50 steer -48810
5.51 steer -47687
5.56 steer -51055
5.57 steer -52178
5.58 steer -53300
5.59 steer -57230
5.60 steer -61159
5.61 steer -65536
5.73 steer -61159
5.74 steer -54984
5.75 steer -50494
5.78 steer -53300
5.79 steer -57230
5.80 steer -61159
5.81 steer -65536
6.61 steer -63966
6.62 steer -59475
6.63 steer -56107
6.64 steer -47687
6.65 steer -42635
6.66 steer -39267
6.67 steer -36461
6.68 steer -33093
6.69 steer -31970
6.70 steer -30286
6.71 steer -28041
6.72 steer -26918
6.73 steer -26357
6.74 steer -25796
6.75 steer -25234
6.84 steer -25796
6.85 steer -24112
6.87 steer -22989
6.88 steer -21866
6.89 steer -20183
6.90 steer -16815
6.92 steer -13447
6.93 steer -12324
6.94 steer -11201
6.95 steer -10079
6.96 steer -9517
7.06 steer -10640
7.12 steer -11201
7.23 steer -12324
7.25 steer -13447
7.76 steer -15692
7.77 steer -19060
7.78 steer -29725
7.79 steer -44881
7.80 steer -53300
7.81 steer -65536
8.09 steer -60036
8.10 steer -34216
8.11 steer -12885
8.12 steer 0
8.13 steer 1753
8.14 steer 10877
8.15 steer 29124
8.16 steer 38818
8.17 steer 45659
8.18 steer 53643
8.20 steer 59343
8.22 steer 57633
8.23 steer 55923
8.24 steer 55353
8.25 steer 47369
8.26 steer 43949
8.27 steer 39958
8.28 steer 28554
8.29 steer 16010
8.31 steer 0
8.51 steer -2220
8.52 steer -5027
8.53 steer -7833
8.54 steer -13447
8.56 steer -18499
8.57 steer -24112
8.59 steer -31409
8.60 steer -33093
8.61 steer -35338
8.62 steer -39267
8.64 steer -43758
8.65 steer -46003
8.66 steer -48249
8.67 steer -49933
8.68 steer -52178
8.69 steer -53862
8.70 steer -57230
8.71 steer -57791
8.73 steer -58352
8.74 steer -59475
8.75 steer -60036
8.76 steer -60598
8.77 steer -62282
8.78 steer -65536
8.89 steer -61159
8.90 steer -57791
8.91 steer -54984
8.92 steer -48810
8.93 steer -46003
8.94 steer -44319
8.95 steer -42635
8.96 steer -42074
8.97 steer -41513
8.99 steer -40951
9.01 steer -40390
9.03 steer -38706
9.04 steer -38145
9.06 steer -35900
9.08 steer -34777
9.09 steer -32532
9.10 steer -29164
9.11 steer -20183
9.12 steer -14569
9.13 steer -11201
9.14 steer -7272
9.15 steer 0
9.54 steer -4466
9.56 steer -7833
9.57 steer -10079
9.58 steer -11201
9.59 steer -14569
9.60 steer -16815
9.61 steer -17376
9.62 steer -18499
9.63 steer -19621
9.64 steer -21866
9.65 steer -22989
9.66 steer -24112
9.68 steer -25796
9.69 steer -26357
9.70 steer -26918
9.71 steer -28041
9.72 steer -28602
9.73 steer -29164
9.74 steer -29725
9.75 steer -31409
9.77 steer -31970
9.78 steer -33093
9.79 steer -34777
9.81 steer -35900
9.83 steer -36461
9.84 steer -38145
9.85 steer -39267
9.86 steer -40390
9.87 steer -42635
9.88 steer -43758
9.89 steer -46003
9.90 steer -47126
9.91 steer -48810
9.92 steer -52178
9.93 steer -56107
9.94 steer -60036
9.95 steer -65536
10.10 steer -59475
10.11 steer -49933
10.12 steer -48249
10.15 steer -50494
10.17 steer -58352
10.18 steer -62843
10.19 steer -65536
10.25 steer -61159
10.26 steer -54423
10.28 steer -47126
10.29 steer -44881
10.31 steer -47126
10.32 steer -49933
10.33 steer -54984
10.34 steer -65536
11.00 steer -60036
11.01 steer -56107
11.02 steer -51616
11.03 steer -47687
11.04 steer -39267
11.05 steer -35900
11.06 steer -31970
11.07 steer -30286
11.10 steer -29725
11.11 steer -31409
11.12 steer -29725
11.13 steer -29164
11.14 steer -28602
11.15 steer -28041
11.17 steer -26918
11.18 steer -26357
11.19 steer -25796
11.21 steer -25234
11.25 steer -24112
11.26 steer -23550
11.28 steer -22989
11.31 steer -22428
11.38 steer -21866
11.39 steer -19621
11.40 steer -19060
11.41 steer -16253
11.42 steer -14008
11.43 steer -10640
11.44 steer -7833
11.45 steer -6711
11.46 steer -3343
11.47 steer 0
11.67 steer 1753
11.68 steer 2326
11.69 steer 3466
11.70 steer 9167
11.72 steer 13727
11.73 steer 14870
11.74 steer 16010
11.76 steer 17720
11.78 steer 16010
11.81 steer 15440
11.82 steer 14870
11.89 steer 17720
11.90 steer 18860
11.92 steer 21711
11.94 steer 22851
11.95 steer 23421
11.96 steer 26274
11.97 steer 26844
11.98 steer 28554
11.99 steer 29124
12.00 steer 31975
12.01 steer 33115
12.02 steer 34255
12.03 steer 35965
12.22 steer 36535
12.26 steer 37105
12.27 steer 38248
12.28 steer 38818
12.29 steer 39958
12.31 steer 40528
12.33 steer 41668
12.46 steer 39958
12.48 steer 38818
12.52 steer 38248
12.53 steer 36535
12.54 steer 34825
12.55 steer 33115
12.56 steer 30264
12.57 steer 27414
12.58 steer 25131
12.59 steer 18860
12.60 steer 15440
12.61 steer 11447
12.62 steer 3466
12.64 steer 0
12.75 steer -5027
12.76 steer -7833
12.77 steer -10640
12.78 steer -12324
12.79 steer -16815
12.81 steer -19060
12.82 steer -20183
12.83 steer -22428
12.84 steer -29164
12.85 steer -31970
12.86 steer -34216
12.87 steer -40390
12.89 steer -47687
12.90 steer -49933
12.91 steer -52178
12.92 steer -57791
12.93 steer -62282
12.94 steer -65536
13.73 steer -64527
13.74 steer -56107
13.75 steer -41513
13.76 steer -33093
13.77 steer -28602
13.78 steer -19621
13.79 steer -8395
13.80 steer -3904
13.81 steer 0
13.87 steer -12885
13.89 steer -28041
13.90 steer -45442
13.92 steer -65536
15.12 steer -53862
15.13 steer -39267
15.14 steer -20744
15.15 steer 0
15.16 steer 14870
15.17 steer 26274
15.18 steer 36535
15.19 steer 43949
15.20 steer 50222
15.21 steer 51932
15.22 steer 53643
15.23 steer 55353
15.26 steer 52502
15.28 steer 50222
15.29 steer 47939
15.30 steer 46229
15.31 steer 39958
15.32 steer 33115
