0.00-15.70 press up
1.92 steer 901
1.93 steer 1422
1.94 steer 1944
1.96 steer 2465
1.98 steer 2986
2.23 steer 3507
2.26 steer 4029
2.34 steer 4550
2.49 steer 4029
2.50 steer 3507
2.51 steer 2465
2.52 steer 0
3.57 steer 1422
3.58 steer 1944
3.59 steer 2465
3.61 steer 2986
3.81 steer 2465
3.82 steer 1944
3.83 steer 901
3.84 steer 0
4.14 steer -1921
4.15 steer -3990
4.16 steer -5542
4.17 steer -6576
4.18 steer -8128
4.19 steer -10196
4.20 steer -10714
4.21 steer -11231
4.35 steer -10714
4.36 steer -9679
4.37 steer -8645
4.38 steer -5542
4.39 steer -3990
4.40 steer 0
4.63 steer 1422
4.64 steer 4550
4.65 steer 11326
4.66 steer 24880
4.67 steer 37389
4.68 steer 55111
4.69 steer 65536
4.84 steer 50941
4.85 steer 29571
4.86 steer 0
4.87 steer -2439
4.88 steer -15886
4.89 steer -45882
4.90 steer -53640
4.91 steer -56743
4.92 steer -60364
4.93 steer -61398
4.94 steer -61915
4.95 steer -61398
4.96 steer -55709
4.97 steer -46917
4.98 steer -35021
4.99 steer -21057
5.00 steer 0
5.48 steer 1944
5.49 steer 4029
5.50 steer 8720
5.51 steer 10805
5.52 steer 13411
5.53 steer 14453
5.54 steer 15496
5.55 steer 16017
5.61 steer 14974
5.62 steer 11847
5.63 steer 9762
5.64 steer 5071
5.65 steer 2465
5.66 steer 0
5.76 steer 1422
5.77 steer 2986
5.78 steer 6635
5.79 steer 9241
5.80 steer 11847
5.81 steer 14974
5.82 steer 16017
5.83 steer 16538
5.85 steer 16017
5.86 steer 14453
5.87 steer 11847
5.88 steer 9762
5.89 steer 6113
5.90 steer 2986
5.91 steer 0
6.01 steer 1944
6.02 steer 2986
6.03 steer 4550
6.04 steer 5071
6.05 steer 6113
6.07 steer 5071
6.08 steer 4029
6.09 steer 1944
6.10 steer 0
6.26 steer 1944
6.27 steer 2986
6.28 steer 5071
6.29 steer 6113
6.30 steer 6635
6.31 steer 6113
6.32 steer 5071
6.33 steer 3507
6.34 steer 1422
6.35 steer 0
6.50 steer 901
6.51 steer 1422
6.53 steer 901
6.54 steer 0
6.94 steer -1921
6.95 steer -2956
6.96 steer -5542
6.97 steer -6576
6.98 steer -8645
6.99 steer -10714
7.00 steer -11748
7.01 steer -12265
7.02 steer -12782
7.11 steer -13300
7.22 steer -14334
7.24 steer -15368
7.25 steer -15886
7.26 steer -16403
7.27 steer -16920
7.28 steer -17437
7.29 steer -17954
7.30 steer -18471
7.31 steer -18989
7.32 steer -19506
7.34 steer -20023
7.39 steer -21057
7.40 steer -22092
7.41 steer -23126
7.42 steer -23643
7.45 steer -24161
7.48 steer -24678
7.50 steer -25195
7.58 steer -25712
7.60 steer -26229
7.61 steer -27264
7.62 steer -27781
7.63 steer -29332
7.64 steer -31918
7.65 steer -34504
7.66 steer -36573
7.67 steer -37607
7.68 steer -40711
7.69 steer -45882
7.70 steer -54675
7.71 steer -61915
7.72 steer -65536
9.12 steer -52606
9.13 steer -16403
9.14 steer 0
9.15 steer 16538
9.16 steer 43644
9.17 steer 61366
9.18 steer 65536
9.34-9.50 press down
9.83 steer 65014
9.84 steer 59802
9.85 steer 55632
9.86 steer 48856
9.87 steer 44165
9.88 steer 38432
9.89 steer 34262
9.90 steer 28528
9.91 steer 23837
9.92 steer 19665
9.93 steer 16017
9.94 steer 11326
9.95 steer 9762
9.96 steer 7156
9.97 steer 5071
9.98 steer 2986
9.99 steer 0
10.03 steer -10196
10.04 steer -18471
10.05 steer -33987
10.06 steer -51054
10.07 steer -65018
10.08 steer -65536
10.58 steer -60364
10.59 steer -42779
10.60 steer -28298
10.61 steer -18471
10.62 steer -6576
10.63 steer 0
10.67 steer 901
10.69 steer 0
11.12 steer -2956
11.13 steer -3990
11.14 steer -5542
11.15 steer -6059
11.16 steer -6576
11.17 steer -7611
11.18 steer -8128
11.19 steer -8645
11.21 steer -9162
11.24 steer -9679
11.25 steer -10196
11.26 steer -11231
11.27 steer -11748
11.28 steer -12265
11.29 steer -12782
11.30 steer -13300
11.31 steer -14334
11.32 steer -14851
11.33 steer -15886
11.34 steer -16403
11.35 steer -16920
11.36 steer -17437
11.37 steer -17954
11.38 steer -18471
11.41 steer -18989
11.49 steer -19506
11.50 steer -20023
11.52 steer -21057
11.62 steer -21575
11.65 steer -22092
11.66 steer -22609
11.67 steer -23126
11.68 steer -24161
11.69 steer -24678
11.70 steer -25195
11.72 steer -25712
11.74 steer -26229
11.75 steer -27264
11.76 steer -28815
11.77 steer -30884
11.78 steer -33470
11.79 steer -36573
11.80 steer -42779
11.81 steer -47434
11.82 steer -55192
11.83 steer -59846
11.84 steer -65018
11.85 steer -65536
12.45 steer -61398
12.46 steer -54157
12.47 steer -39159
12.48 steer -28815
12.49 steer -22092
12.50 steer -17437
12.52 steer -18471
12.53 steer -19506
12.54 steer -22609
12.55 steer -25195
12.56 steer -26746
12.57 steer -27781
12.58 steer -28815
12.59 steer -29332
12.60 steer -28815
12.63 steer -26746
12.64 steer -26229
12.65 steer -25712
12.66 steer -24678
12.67 steer -23643
12.68 steer -23126
12.73 steer -23643
12.75 steer -24678
12.76 steer -25195
12.78 steer -26229
12.79 steer -29332
12.80 steer -31401
12.81 steer -33987
12.82 steer -37090
12.83 steer -38642
12.84 steer -41228
12.85 steer -43814
12.86 steer -50537
12.87 steer -59329
12.88 steer -62432
12.89 steer -65536
13.25 steer -63467
13.26 steer -51571
13.27 steer -38642
13.28 steer -29332
13.29 steer -15368
13.30 steer -2439
13.31 steer 0
13.32 steer 2986
13.33 steer 7677
13.34 steer 11847
13.35 steer 15496
13.36 steer 18623
13.37 steer 21229
13.38 steer 22274
13.42 steer 21752
13.43 steer 21229
13.44 steer 20187
13.45 steer 16017
13.46 steer 14974
13.47 steer 13411
13.48 steer 11326
13.49 steer 10805
13.50 steer 9762
13.51 steer 8720
13.52 steer 7156
13.53 steer 6113
13.54 steer 3507
13.55 steer 2986
13.56 steer 1944
13.57 steer 1422
13.58 steer 0
13.69 steer -2956
13.70 steer -9162
13.71 steer -15368
13.72 steer -27264
13.73 steer -37090
13.74 steer -55709
13.75 steer -65536
14.53 steer -63467
14.54 steer -51054
14.55 steer -43296
14.56 steer -32436
14.57 steer -26229
14.58 steer -18989
14.59 steer -15368
14.60 steer -9679
14.61 steer -6059
14.62 steer -5025
