0.00-23.00 press up
10.77 steer 37675
10.78 steer 39193
10.79 steer 44663
10.80 steer 47473
10.81 steer 63051
10.82 steer 65536
10.96 steer 64710
10.97 steer 45117
10.98 steer 42886
10.99 steer 21977
11.00 steer 19179
11.01 steer 0
11.33 steer -1001
11.34 steer -1462
11.35 steer -2114
11.36 steer -2341
11.37 steer -2522
11.38 steer -2651
11.40 steer -839
11.41 steer 0
11.55 steer 21504
11.56 steer 22835
11.57 steer 44877
11.58 steer 46122
11.59 steer 48095
11.60 steer 50540
11.61 steer 65536
11.79 steer 64017
11.80 steer 48184
11.81 steer 45753
11.82 steer 0
11.87 steer -13534
11.88 steer -14729
11.89 steer -16940
11.90 steer -33184
11.91 steer -34762
11.92 steer -36980
11.93 steer -39475
11.94 steer -54515
11.95 steer -56386
11.96 steer -58118
11.97 steer -65536
12.27-12.46 press down
12.57 steer -64978
12.58 steer -64081
12.59 steer -60760
12.60 steer -58350
12.61 steer -55345
12.62 steer -35746
12.63 steer -34402
12.64 steer -31805
12.65 steer -13961
12.66 steer -12786
12.67 steer -11513
12.68 steer -9160
12.69 steer -8041
12.70 steer -6586
12.71 steer -4602
12.72 steer -2515
12.73 steer 0
12.78 steer 9066
12.79 steer 10802
12.80 steer 33227
12.81 steer 34695
12.83 steer 55386
12.84 steer 56760
12.85 steer 65536
13.96 steer 65311
13.97 steer 64265
13.98 steer 62205
13.99 steer 44042
14.00 steer 24741
14.01 steer 22635
14.02 steer 1811
14.03 steer 0
14.17 steer 13245
14.18 steer 15004
14.19 steer 31963
14.20 steer 34881
14.21 steer 55923
14.22 steer 57629
14.23 steer 65536
14.41 steer 64081
14.42 steer 61152
14.43 steer 39097
14.44 steer 23064
14.45 steer 0
14.55 steer 14821
14.56 steer 16578
14.57 steer 34376
14.58 steer 36234
14.59 steer 55393
14.60 steer 55845
14.61 steer 56941
14.62 steer 58150
14.63 steer 59237
14.64 steer 60827
14.65 steer 61366
14.66 steer 61769
14.68 steer 57675
14.69 steer 39250
14.70 steer 36383
14.71 steer 11814
14.72 steer 0
14.83 steer 17685
14.84 steer 20397
14.85 steer 22284
14.86 steer 24472
14.87 steer 26397
14.88 steer 30697
14.89 steer 32670
14.90 steer 34438
14.91 steer 36000
14.92 steer 38234
14.94 steer 39012
14.95 steer 39590
14.96 steer 38723
14.97 steer 37298
14.98 steer 32202
14.99 steer 13864
15.00 steer 12655
15.01 steer 10366
15.02 steer 5524
15.03 steer 3790
15.04 steer 2389
15.05 steer 1267
15.06 steer 0
15.13 steer 21571
15.14 steer 48248
15.15 steer 51079
15.16 steer 65536
15.31 steer 65203
15.32 steer 63868
15.33 steer 62081
15.34 steer 59368
15.35 steer 41136
15.36 steer 40838
15.37 steer 40101
15.38 steer 38464
15.39 steer 37759
15.40 steer 37115
15.41 steer 36519
15.42 steer 34874
15.43 steer 33349
15.44 steer 31126
15.45 steer 13135
15.47 steer 0
15.54 steer -19984
15.55 steer -35434
15.56 steer -52395
15.57 steer -65536
16.43 steer -65315
16.44 steer -64600
16.45 steer -63710
16.46 steer -62207
16.47 steer -61675
16.48 steer -61237
16.49 steer -60886
16.50 steer -60606
16.51 steer -60203
16.52 steer -60072
16.53 steer -59969
16.55 steer -59820
16.56 steer -59723
16.67 steer -60272
16.69 steer -60620
16.70 steer -60895
16.71 steer -61340
16.72 steer -61788
16.73 steer -62226
16.74 steer -63051
16.75 steer -63366
