0.00-17.09 press up
1.51 steer -1098
1.52 steer -2220
1.53 steer -2782
1.54 steer -3343
1.56 steer -3904
1.57 steer -5588
1.59 steer -6150
1.60 steer -6711
1.61 steer -7833
1.62 steer -8395
1.63 steer -10640
1.64 steer -11201
1.66 steer -11763
1.68 steer -12324
1.69 steer -13447
1.70 steer -14008
1.71 steer -15131
1.73 steer -16815
1.74 steer -17376
1.78 steer -17937
1.99 steer -16253
2.02 steer -15131
2.16 steer -16815
2.17 steer -17376
2.18 steer -17937
2.19 steer -19060
2.20 steer -20183
2.22 steer -23550
2.24 steer -25234
2.25 steer -30286
2.26 steer -33654
2.27 steer -35900
2.28 steer -40390
2.29 steer -43197
2.30 steer -47687
2.31 steer -49933
2.33 steer -55546
2.34 steer -58914
2.35 steer -65536
3.28 steer -56107
3.29 steer -49933
3.30 steer -37583
3.31 steer -30848
3.33 steer -16815
3.34 steer -11201
3.35 steer -5588
3.36 steer 0
4.09 steer 1753
4.11 steer 2326
4.12 steer 2896
4.14 steer 4606
4.15 steer 6316
4.16 steer 8026
4.17 steer 9167
4.18 steer 10307
4.19 steer 8597
4.20 steer 10307
4.21 steer 8597
4.22 steer 8026
4.23 steer 6316
4.26 steer 5176
4.38 steer 9167
4.39 steer 10307
4.41 steer 14300
4.42 steer 16580
4.43 steer 18860
4.44 steer 23991
4.45 steer 25701
4.46 steer 27414
4.47 steer 29124
4.48 steer 29694
4.49 steer 31405
4.50 steer 33685
4.51 steer 35395
4.52 steer 35965
4.53 steer 37676
4.54 steer 38248
4.55 steer 39388
4.56 steer 42809
4.57 steer 45659
4.58 steer 46229
4.59 steer 50792
4.61 steer 54783
4.62 steer 56493
4.63 steer 58773
4.64 steer 62766
4.65 steer 63336
4.66 steer 65536
4.75 steer 64476
4.76 steer 60484
4.77 steer 57063
4.78 steer 44519
4.80 steer 37676
4.81 steer 21141
4.82 steer 10877
4.83 steer 0
4.85 steer -3904
4.86 steer -8956
4.87 steer -13447
4.88 steer -20183
4.89 steer -23550
4.90 steer -24673
4.91 steer -28041
4.93 steer -28602
4.95 steer -26357
4.96 steer -25234
4.97 steer -23550
4.98 steer -17376
4.99 steer -7833
5.00 steer -1098
5.01 steer 0
5.39 steer 4036
5.40 steer 8597
5.41 steer 14300
5.42 steer 16580
5.43 steer 17150
5.44 steer 15440
5.45 steer 14870
5.46 steer 14300
5.47 steer 13157
5.48 steer 12587
5.49 steer 6316
5.50 steer 4036
5.51 steer 0
5.78 steer -2220
5.79 steer 0
6.77 steer 1753
6.78 steer 2326
6.79 steer 0
6.81 steer 2326
6.83 steer 1753
6.85 steer 2326
6.86 steer 2896
6.88 steer 4036
6.89 steer 2896
6.90 steer 4606
6.92 steer 5176
6.95 steer 6316
6.96 steer 6886
6.97 steer 5176
6.98 steer 4606
6.99 steer 6316
7.00 steer 4606
7.01 steer 6316
7.02 steer 6886
7.03 steer 5176
7.05 steer 6886
7.06 steer 8026
7.07 steer 8597
7.08 steer 6886
7.09 steer 6316
7.10 steer 8597
7.11 steer 8026
7.12 steer 6316
7.13 steer 8597
7.14 steer 6886
7.15 steer 8597
7.17 steer 8026
7.18 steer 6886
7.19 steer 8026
7.20 steer 6886
7.22 steer 6316
7.23 steer 5176
7.24 steer 4036
7.28 steer 2326
7.29 steer 0
7.40 steer -2220
7.41 steer -3343
7.42 steer -5027
7.43 steer -5588
7.44 steer -6711
7.45 steer -8956
7.46 steer -10640
7.47 steer -11201
7.48 steer -12324
7.49 steer -14008
7.50 steer -14569
7.51 steer -15131
7.52 steer -16815
7.53 steer -17937
7.54 steer -19060
7.55 steer -19621
7.56 steer -20183
7.61 steer -20744
7.64 steer -19060
7.67 steer -20183
7.68 steer -20744
7.71 steer -21866
7.72 steer -19621
7.73 steer -22428
7.74 steer -20744
7.75 steer -20183
8.23 steer -21866
8.25 steer -20183
8.28 steer -21866
8.29 steer -20183
8.30 steer -19621
8.42 steer -19060
8.43 steer -20183
8.44 steer -20744
8.47 steer -21866
8.48 steer -20744
8.49 steer -20183
8.51 steer -21866
8.52 steer -20183
8.54 steer -22428
8.55 steer -20183
8.56 steer -21866
8.57 steer -20183
8.58 steer -22428
8.59 steer -21866
8.63 steer -24673
8.65 steer -20744
8.66 steer -21866
8.69 steer -23550
8.70 steer -21866
8.72 steer -23550
8.73 steer -22428
8.74 steer -20744
8.75 steer -22428
8.80 steer -22989
8.82 steer -23550
8.83 steer -22989
8.86 steer -22428
8.87 steer -23550
8.92 steer -21866
8.93 steer -20744
8.94 steer -20183
8.95 steer -22428
8.97 steer -24673
8.98 steer -23550
9.03 steer -25234
9.05 steer -22989
9.07 steer -22428
9.08 steer -25234
9.09 steer -23550
9.10 steer -25234
9.11 steer -24673
9.11-9.51 press down
9.12 steer -22989
9.14 steer -23550
9.15 steer -24673
9.16 steer -22989
9.17 steer -24673
9.19 steer -25234
9.21 steer -22989
9.22 steer -23550
9.23 steer -24673
9.24 steer -23550
9.25 steer -24673
9.27 steer -23550
9.29 steer -24673
9.30 steer -25796
9.31 steer -24673
9.34 steer -22989
9.35 steer -23550
9.42 steer -22989
9.43 steer -22428
9.44 steer -21866
9.45 steer -19621
9.47 steer -15131
9.48 steer -11201
9.49 steer -8956
9.50 steer -6711
9.51 steer -5027
9.52 steer -2220
9.53 steer 0
9.56 steer -2220
9.57 steer -2782
9.61 steer -3343
9.62 steer -5027
9.63 steer -6711
9.64 steer -9517
9.65 steer -11201
9.67 steer -12324
9.68 steer -13447
9.69 steer -14008
9.70 steer -14569
9.72 steer -15131
9.73 steer -16815
9.74 steer -17376
9.76 steer -17937
9.77 steer -19060
9.80 steer -17376
9.81 steer -19621
9.85 steer -19060
9.86 steer -17937
9.87 steer -17376
9.88 steer -16253
9.90 steer -15131
9.91 steer -11763
9.92 steer -5588
9.93 steer -3343
9.94 steer 0
10.28 steer 2326
10.29 steer 2896
10.30 steer 6316
10.32 steer 8026
10.33 steer 10307
10.34 steer 10877
10.35 steer 14870
10.37 steer 20571
10.38 steer 22851
10.39 steer 27984
10.41 steer 33685
10.42 steer 40528
10.44 steer 46799
10.45 steer 50222
10.46 steer 54213
10.47 steer 57063
10.48 steer 61624
10.49 steer 64476
10.50 steer 65536
10.60 steer 64476
10.61 steer 61624
10.62 steer 61054
10.63 steer 60484
10.66 steer 62766
10.67 steer 65536
11.99 steer 64476
12.00 steer 59343
12.01 steer 54213
12.02 steer 40528
12.03 steer 31405
12.04 steer 23421
12.05 steer 14300
12.06 steer 0
12.08 steer -14008
12.09 steer -25796
12.10 steer -36461
12.11 steer -51616
12.12 steer -58914
12.13 steer -65536
12.58 steer -60036
12.59 steer -49933
12.60 steer -39267
12.61 steer -7833
12.63 steer 0
12.64 steer 8597
12.65 steer 25131
12.66 steer 31405
12.67 steer 39388
12.68 steer 43949
12.69 steer 56493
12.71 steer 58773
12.72 steer 61624
12.73 steer 65536
13.04 steer 63336
13.05 steer 61054
13.06 steer 55353
13.08 steer 51932
13.09 steer 42809
13.10 steer 36535
13.11 steer 23991
13.12 steer 16580
13.13 steer 6316
13.14 steer 0
13.16 steer -2782
13.17 steer -16815
13.18 steer -22989
13.19 steer -28041
13.20 steer -36461
13.21 steer -39829
13.22 steer -43197
