0.00-37.74 press up
0.24 steer 1000
0.25 steer 1571
0.30 steer 2714
0.42 steer 3285
0.48 steer 4427
0.54 steer 4998
0.60 steer 6140
0.67 steer 6711
0.68 steer 7283
0.72 steer 8425
0.75 steer 8996
0.89 steer 10138
0.99 steer 8425
1.01 steer 7283
1.04 steer 4998
1.05 steer 3285
1.06 steer 1571
1.07 steer 0
1.28 steer -2140
1.29 steer -4996
1.30 steer -8994
1.31 steer -20416
1.32 steer -27841
1.33 steer -38121
1.34 steer -46688
1.35 steer -55826
1.36 steer -64964
1.61 steer -54684
1.62 steer -43833
1.63 steer -12992
1.64 steer 0
1.66 steer 10138
1.67 steer 22132
1.68 steer 47833
1.69 steer 57542
1.70 steer 65536
1.88 steer 63253
1.89 steer 60969
1.90 steer 55829
1.91 steer 46119
1.92 steer 40979
1.93 steer 34697
1.94 steer 25559
1.95 steer 18134
1.96 steer 2714
1.97 steer 0
2.03 steer -2140
2.04 steer -6709
2.05 steer -10136
2.06 steer -14134
2.07 steer -19845
2.08 steer -20987
2.09 steer -23272
2.10 steer -24985
2.11 steer -28412
2.12 steer -30126
2.13 steer -32410
2.14 steer -32981
2.17 steer -31268
2.19 steer 0
2.20 steer 3285
2.21 steer -998
2.22 steer 0
2.48 steer 2714
2.49 steer 4998
2.50 steer 7283
2.51 steer 8996
2.52 steer 11852
2.53 steer 12423
2.55 steer 10709
2.57 steer 10138
2.58 steer 6711
2.59 steer 1000
2.60 steer 0
2.87 steer -2140
2.88 steer -4425
2.89 steer -6709
2.90 steer -7852
2.91 steer -9565
2.92 steer -11278
3.00 steer -11849
3.11 steer -12421
3.24 steer -10136
3.28 steer -7852
3.29 steer -6138
3.30 steer -3854
3.31 steer 0
3.56 steer 1000
3.57 steer 2714
3.58 steer 4998
3.59 steer 10138
3.60 steer 11852
3.61 steer 14136
3.62 steer 15850
3.63 steer 18134
3.64 steer 19276
3.65 steer 19847
3.66 steer 21561
3.67 steer 23274
3.68 steer 23845
3.70 steer 24988
3.72 steer 25559
3.73 steer 26130
3.76 steer 27272
3.82 steer 27843
3.92 steer 28985
3.93 steer 29557
4.07 steer 27843
4.11 steer 27272
4.12 steer 25559
4.13 steer 23274
4.14 steer 19847
4.15 steer 11852
4.16 steer 6140
4.17 steer 0
4.30 steer -998
4.31 steer -3854
4.32 steer -4425
4.33 steer -6138
4.34 steer -6709
4.35 steer -7852
4.36 steer -8994
4.39 steer -6709
4.40 steer -1569
4.41 steer 0
5.31-5.40 press down
7.56 steer -2711
7.57 steer -6709
7.58 steer -9565
7.59 steer -14705
7.60 steer -16418
7.61 steer -17561
7.62 steer -18132
7.63 steer -19274
7.65 steer -17561
7.66 steer -16990
7.68 steer 0
8.01 steer 2714
8.02 steer 4427
8.03 steer 6711
8.04 steer 8996
8.05 steer 10709
8.06 steer 11852
8.07 steer 12423
8.08 steer 12994
8.09 steer 14136
8.21 steer 12423
8.27 steer 11852
8.28 steer 8996
8.29 steer 6711
8.30 steer 4998
8.31 steer 2714
8.32 steer 0
8.63 steer 1571
8.64 steer 2714
8.65 steer 3285
8.66 steer 4427
8.67 steer 4998
8.75 steer 3285
8.79 steer 2714
8.80 steer 0
9.11 steer -2711
9.12 steer -8994
9.13 steer -11849
9.14 steer -15276
9.15 steer -18132
9.16 steer -23272
9.17 steer -24985
9.18 steer -26128
9.19 steer -29554
9.20 steer -30126
9.21 steer -30697
9.22 steer -31268
9.24 steer -32410
9.26 steer -32981
9.27 steer -33552
9.29 steer -34695
9.30 steer -35266
9.32 steer -35837
9.37 steer -33552
9.38 steer -28412
9.39 steer 0
9.40 steer -3854
9.41 steer 0
9.64 steer -3854
9.65 steer -10136
9.66 steer -16990
9.67 steer -24414
9.68 steer -36408
9.69 steer -43261
9.70 steer -48402
9.71 steer -58111
9.72 steer -61538
9.73 steer -64964
9.83 steer -60966
9.84 steer -54684
9.85 steer -51828
9.86 steer -50686
9.87 steer -49544
9.90 steer -51257
9.91 steer -54113
9.92 steer -56397
9.93 steer -59253
9.94 steer -62109
9.95 steer -64393
9.96 steer -64964
10.06 steer -63251
10.07 steer -62109
10.08 steer -58111
10.09 steer -56397
10.10 steer -54684
10.25 steer -56397
10.26 steer -56969
10.32 steer -58111
10.33 steer -58682
10.34 steer -59253
10.35 steer -59824
10.42 steer -58111
10.43 steer -51257
10.44 steer -48402
10.45 steer -47831
10.46 steer -46688
10.47 steer -48402
10.48 steer -48973
10.50 steer -49544
10.51 steer -50686
10.52 steer -51828
10.53 steer -52971
