0.00-38.12 press up
1.05 steer -942
1.06 steer -1476
1.07 steer -2418
1.08 steer -2925
1.09 steer -3478
1.10 steer -3969
1.11 steer -4689
1.12 steer -4949
1.13 steer -5158
1.14 steer -5311
1.15 steer -5436
1.16 steer -5547
1.17 steer -5694
1.19 steer -5803
1.21 steer -5907
1.34 steer -6016
1.60 steer -4507
1.61 steer -3549
1.62 steer -2140
1.63 steer -960
1.64 steer 0
1.71 steer -1522
1.72 steer -3240
1.73 steer -4760
1.74 steer -6494
1.75 steer -9323
1.76 steer -10563
1.77 steer -11603
1.78 steer -12461
1.79 steer -13729
1.80 steer -14185
1.81 steer -14549
1.82 steer -14841
1.83 steer -15261
1.84 steer -15410
1.85 steer -15530
1.86 steer -15638
1.88 steer -13472
1.89 steer -11043
1.90 steer 0
2.06 steer -785
2.07 steer -3811
2.08 steer -5120
2.09 steer -6205
2.10 steer -7109
2.11 steer -7832
2.12 steer -8896
2.13 steer -9274
2.14 steer -9576
2.15 steer -10000
2.16 steer -10145
2.18 steer -9354
2.19 steer -5294
2.20 steer -3114
2.21 steer -1320
2.22 steer 0
2.31 steer -4167
2.32 steer -6140
2.33 steer -8000
2.34 steer -9663
2.35 steer -11116
2.36 steer -13576
2.37 steer -14990
2.38 steer -16470
2.39 steer -17741
2.40 steer -19725
2.41 steer -20556
2.42 steer -21483
2.43 steer -22436
2.44 steer -24088
2.45 steer -24759
2.46 steer -25308
2.47 steer -26177
2.48 steer -26517
2.49 steer -26839
2.50 steer -27183
2.51 steer -28125
2.52 steer -28514
2.53 steer -28963
2.54 steer -29510
2.55 steer -30048
2.56 steer -31259
2.57 steer -31952
2.58 steer -32859
2.59 steer -34779
2.60 steer -35906
2.61 steer -36970
2.62 steer -38077
2.63 steer -39495
2.64 steer -42406
2.65 steer -43824
2.66 steer -45339
2.67 steer -47886
2.68 steer -48986
2.69 steer -50122
2.70 steer -51337
2.71 steer -52540
2.72 steer -55957
2.73 steer -65536
3.18-3.54 press down
3.69-3.79 press down
4.60 steer -30014
4.61 steer -11654
4.62 steer 0
4.64 steer 9947
4.65 steer 24594
4.66 steer 27479
4.67 steer 50644
4.68 steer 52806
4.69 steer 65536
4.74 steer 64644
4.75 steer 43335
4.76 steer 41315
4.77 steer 22779
4.78 steer 20650
4.79 steer 2480
4.80 steer 838
4.81 steer 0
5.01 steer 1307
5.02 steer 3434
5.03 steer 8436
5.04 steer 10520
5.05 steer 12418
5.06 steer 14152
5.07 steer 17127
5.08 steer 18634
5.09 steer 20336
5.10 steer 22074
5.11 steer 25730
5.12 steer 27123
5.13 steer 28265
5.14 steer 29206
5.15 steer 29986
5.16 steer 31568
5.17 steer 32701
5.18 steer 33899
5.19 steer 34963
5.20 steer 36504
5.21 steer 37179
5.22 steer 37692
5.23 steer 38457
5.24 steer 38664
5.25 steer 38761
5.28 steer 38148
5.29 steer 37484
5.30 steer 36672
5.31 steer 35259
5.32 steer 34695
5.33 steer 34188
5.34 steer 33810
5.35 steer 33508
5.36 steer 33052
5.37 steer 32915
5.38 steer 32806
5.39 steer 32634
5.43 steer 33752
5.44 steer 35623
5.45 steer 36343
5.46 steer 36999
5.47 steer 38657
5.48 steer 39750
5.49 steer 40848
5.50 steer 42030
5.51 steer 44495
5.52 steer 45555
5.53 steer 46548
5.54 steer 47593
5.55 steer 48586
5.56 steer 50015
5.57 steer 50524
5.58 steer 50917
5.59 steer 50602
5.60 steer 50271
5.61 steer 49886
5.62 steer 49499
5.63 steer 48544
5.64 steer 47857
5.65 steer 47150
5.66 steer 46546
5.67 steer 46062
5.68 steer 45306
5.69 steer 45057
5.70 steer 44884
5.71 steer 44642
5.73 steer 44526
5.78 steer 44408
5.81 steer 44306
5.84 steer 45337
5.85 steer 45979
5.86 steer 46650
5.87 steer 48211
5.88 steer 49277
5.89 steer 50275
5.90 steer 51557
5.91 steer 54353
5.92 steer 55933
5.93 steer 57380
5.94 steer 58720
5.95 steer 65536
6.00 steer 65311
6.01 steer 64882
6.02 steer 64149
6.03 steer 63011
6.04 steer 59402
6.05 steer 57244
6.06 steer 54753
6.07 steer 49835
6.08 steer 47686
6.09 steer 45848
6.10 steer 43101
6.11 steer 42126
6.12 steer 41413
6.13 steer 40975
6.15 steer 42019
6.16 steer 42968
6.17 steer 44095
6.18 steer 45222
6.19 steer 48431
6.20 steer 50395
6.21 steer 52360
6.22 steer 54311
6.23 steer 56069
6.24 steer 65536
6.31 steer 64911
6.32 steer 64509
6.33 steer 63913
6.34 steer 63267
6.35 steer 61935
6.36 steer 61344
6.37 steer 60871
6.38 steer 60506
6.39 steer 60029
6.40 steer 59871
6.41 steer 59733
6.43 steer 59651
6.48 steer 59460
6.49 steer 58655
6.50 steer 57500
6.51 steer 55866
6.52 steer 50675
6.53 steer 32503
6.54 steer 30099
6.55 steer 11134
6.56 steer 7098
6.57 steer 4409
6.58 steer 1896
6.59 steer 0
6.98 steer 16483
6.99 steer 18776
7.00 steer 21547
7.01 steer 23830
7.02 steer 25643
7.03 steer 28188
7.04 steer 28099
7.05 steer 26925
7.06 steer 22299
7.07 steer 4949
7.08 steer 3938
7.09 steer 2136
7.10 steer 0
7.31 steer -10798
7.32 steer -13316
7.33 steer -39017
7.34 steer -41659
7.35 steer -65536
7.47 steer -42373
7.48 steer -39635
7.49 steer -15885
7.50 steer -13776
7.51 steer 0
7.62 steer 3789
7.63 steer 18792
7.64 steer 19359
7.65 steer 20339
7.66 steer 21203
7.67 steer 21894
7.68 steer 22645
7.69 steer 21848
7.70 steer 19701
7.71 steer 3607
7.72 steer 2629
7.73 steer 1118
7.74 steer 0
7.84 steer -891
7.85 steer -3691
7.86 steer -6425
7.87 steer -23810
7.88 steer -24948
7.89 steer -25948
7.90 steer -26885
7.91 steer -28548
7.92 steer -29128
7.93 steer -29592
7.94 steer -29977
7.95 steer -30272
7.96 steer -29788
7.97 steer -27490
7.98 steer -10614
7.99 steer -5976
8.00 steer -3749
8.01 steer -1811
8.02 steer 0
8.14 steer -767
8.15 steer -1240
8.16 steer -1925
8.17 steer -2180
8.18 steer -2371
8.19 steer -2660
8.20 steer -2771
8.22 steer -2911
8.23 steer -2260
8.24 steer -1514
8.25 steer -727
8.26 steer 0
8.34 steer -15421
8.35 steer -17601
8.36 steer -19632
8.37 steer -21432
8.38 steer -23012
8.39 steer -24283
8.40 steer -25957
8.42 steer -23196
8.43 steer -1971
8.44 steer 0
8.47 steer 9012
8.48 steer 37564
8.49 steer 40048
8.50 steer 63227
8.51 steer 65536
8.84 steer 44099
8.85 steer 26528
8.86 steer 9065
8.87 steer 6576
8.88 steer 1047
8.88-8.97 press down
8.89 steer 0
8.91 steer -4907
8.92 steer -20250
8.93 steer -22008
8.94 steer -24521
8.95 steer -41084
8.96 steer -43962
8.97 steer -46059
8.98 steer -48159
8.99 steer -50248
9.00 steer -53735
9.01 steer -55004
9.02 steer -56020
9.03 steer -57471
9.04 steer -57213
9.05 steer -55653
9.06 steer -40710
9.07 steer -22950
9.08 steer -4471
9.09 steer -2329
9.10 steer 0
9.20 steer -19030
9.21 steer -34266
9.22 steer -35628
9.23 steer -37886
9.24 steer -56180
9.25 steer -56769
9.26 steer -57713
9.27 steer -65536
9.37 steer -64793
9.38 steer -62953
9.39 steer -40713
9.40 steer -13434
9.41 steer -11349
9.42 steer 0
9.51 steer 19816
9.52 steer 22352
9.53 steer 37497
9.54 steer 38610
9.55 steer 40728
9.56 steer 58171
9.57 steer 65536
10.08 steer 64364
10.09 steer 48724
10.10 steer 46608
10.11 steer 21763
10.12 steer 0
10.31 steer 1398
10.32 steer 18981
10.33 steer 20852
10.34 steer 37275
10.35 steer 38717
10.36 steer 57637
10.37 steer 58551
10.38 steer 59518
10.39 steer 60304
10.40 steer 61204
10.41 steer 59811
10.42 steer 44366
10.43 steer 42548
10.44 steer 24116
10.45 steer 6194
10.46 steer 4818
10.47 steer 785
10.48 steer 0
10.67 steer 18643
10.68 steer 19856
10.69 steer 22554
10.70 steer 39530
10.71 steer 40906
10.72 steer 45599
10.73 steer 60326
10.74 steer 60846
10.75 steer 61315
10.76 steer 61991
10.77 steer 62231
10.79 steer 58960
10.80 steer 56197
10.81 steer 39006
10.82 steer 37728
10.83 steer 23099
10.84 steer 6185
10.85 steer 5034
10.86 steer 3234
10.87 steer 1549
10.88 steer 0
10.97 steer 18912
10.98 steer 21772
10.99 steer 45755
11.00 steer 63271
11.01 steer 65536
11.08 steer 65304
11.09 steer 63695
11.10 steer 47875
11.11 steer 46022
11.12 steer 26123
11.13 steer 6311
11.14 steer 5011
11.15 steer 1265
11.16 steer 0
11.25 steer 707
11.26 steer 21343
11.27 steer 41653
11.28 steer 43170
11.29 steer 45539
11.30 steer 48299
11.31 steer 52642
11.32 steer 54191
11.33 steer 55169
11.34 steer 54931
11.35 steer 50517
11.36 steer 32752
11.37 steer 31050
11.38 steer 16134
11.39 steer 14143
11.40 steer 0
11.68 steer 17578
11.69 steer 38604
11.70 steer 40335
11.71 steer 60124
11.72 steer 60815
11.73 steer 65536
11.90 steer 64664
11.91 steer 42386
11.92 steer 40446
11.93 steer 21412
11.94 steer 19532
11.95 steer 16690
11.96 steer 11276
11.97 steer 9023
11.98 steer 7200
11.99 steer 5305
12.01 steer 6551
12.02 steer 8960
12.03 steer 26925
12.04 steer 44426
12.05 steer 46006
12.06 steer 48502
12.07 steer 52924
12.08 steer 54533
12.09 steer 55793
12.10 steer 56082
12.11 steer 52477
12.12 steer 34683
12.13 steer 32890
12.14 steer 30026
12.15 steer 9209
12.16 steer 5791
12.17 steer 3445
12.18 steer 1280
12.19 steer 0
12.36 steer -2774
12.37 steer -4807
12.38 steer -6938
12.39 steer -8952
12.40 steer -13812
12.41 steer -16574
12.42 steer -18959
12.43 steer -21130
12.44 steer -24314
12.45 steer -25465
12.46 steer -26385
12.47 steer -27134
12.48 steer -28212
12.49 steer -28583
12.50 steer -28892
12.51 steer -29261
12.53 steer -27937
12.54 steer -25799
12.55 steer -6947
12.56 steer -6060
12.57 steer -4194
12.58 steer -2569
12.59 steer -1174
12.60 steer 0
12.79 steer 14278
12.80 steer 32348
12.81 steer 33677
12.82 steer 36315
12.83 steer 51804
12.84 steer 53791
12.85 steer 55213
12.86 steer 56677
12.87 steer 58855
12.88 steer 59631
12.89 steer 60160
12.90 steer 59851
12.91 steer 56291
12.92 steer 39004
12.93 steer 36964
12.94 steer 18714
12.95 steer 16527
12.96 steer 0
