0.00-7.74 press up
0.03 steer 1012
0.04 steer 0
0.09 steer 1012
0.11 steer 1559
0.14 steer 2106
0.16 steer 2653
0.18 steer 3200
0.19 steer 3746
0.21 steer 4293
0.24 steer 4840
0.25 steer 5387
0.26 steer 5934
0.27 steer 6481
0.28 steer 7027
0.30 steer 7574
0.31 steer 8121
0.32 steer 8668
0.33 steer 9215
0.34 steer 9761
0.36 steer 10308
0.38 steer 10855
0.54 steer 10308
0.96 steer 10855
0.97 steer 11949
0.98 steer 13589
0.99 steer 14136
1.00 steer 14683
1.01 steer 16323
1.02 steer 17417
1.08 steer 16870
1.10 steer 16323
1.11 steer 15777
1.13 steer 15230
1.15 steer 14683
1.16 steer 14136
1.17 steer 13589
1.19 steer 13042
1.20 steer 12496
1.21 steer 11402
1.23 steer 8668
1.24 steer 8121
1.25 steer 4840
1.26 steer 2106
1.27 steer 0
1.50 steer 1559
1.51 steer 3746
1.52 steer 4293
1.57 steer 1559
1.58 steer 0
1.79 steer 1012
1.82 steer 0
2.21 steer 1559
2.22 steer 2106
2.23 steer 2653
2.24 steer 3200
2.25 steer 3746
2.27 steer 4293
2.28 steer 4840
2.29 steer 5387
2.30 steer 5934
2.31 steer 6481
2.32 steer 7027
2.33 steer 7574
2.35 steer 8668
2.37 steer 9215
2.38 steer 9761
2.42 steer 10308
2.45 steer 10855
2.46 steer 11402
2.47 steer 12496
2.48 steer 13042
2.51 steer 13589
2.52 steer 13042
2.62 steer 12496
2.63 steer 11949
2.64 steer 10855
2.65 steer 9761
2.66 steer 7574
2.67 steer 4293
2.68 steer 2106
2.69 steer 0
2.87 steer 2653
2.88 steer 3746
2.89 steer 4840
2.94 steer 4293
2.95 steer 3200
2.96 steer 2106
2.97 steer 0
3.11 steer 1012
3.12 steer 1559
3.13 steer 2106
3.14 steer 2653
3.19 steer 2106
3.20 steer 1559
3.21 steer 0
3.93 steer -1557
3.95 steer -2104
3.99 steer -2651
4.09 steer -3197
4.18 steer -3744
4.19 steer -4291
4.20 steer -4838
4.22 steer -5385
4.24 steer -5932
4.26 steer -7025
4.28 steer -7572
4.29 steer -8119
4.30 steer -8666
4.31 steer -9759
4.32 steer -10306
4.33 steer -11400
4.34 steer -12493
4.35 steer -13587
4.36 steer -15228
4.37 steer -17962
4.38 steer -20149
4.39 steer -22883
4.40 steer -25617
4.41 steer -28898
4.42 steer -30539
4.43 steer -33820
4.44 steer -35460
4.45 steer -40382
4.47 steer -42569
4.48 steer -43662
4.49 steer -45303
4.50 steer -45850
4.51 steer -46943
4.52 steer -47490
4.53 steer -48584
4.54 steer -49131
4.55 steer -50224
4.56 steer -50771
4.58 steer -51318
4.64 steer -50224
4.65 steer -48584
4.66 steer -46943
4.67 steer -43662
4.68 steer -42022
4.69 steer -36554
4.70 steer -33820
4.71 steer -29992
4.72 steer -26711
4.73 steer -21789
4.74 steer -19055
4.75 steer -14681
4.76 steer -12493
4.77 steer -9759
4.78 steer -7572
4.79 steer -4838
4.80 steer -3744
4.81 steer -2651
4.82 steer -2104
4.84 steer -1557
4.87 steer -2104
4.88 steer -3197
4.89 steer -3744
4.90 steer -4838
4.91 steer -5385
4.93 steer -7025
4.94 steer -7572
4.95 steer -8666
4.96 steer -8119
4.97 steer -8666
4.98 steer -9213
5.01 steer -9759
5.54 steer -10306
5.56 steer -10853
5.57 steer -11400
5.58 steer -12493
5.59 steer -13587
5.60 steer -14134
5.61 steer -16321
5.62 steer -16868
5.63 steer -18509
5.64 steer -19602
5.65 steer -20696
5.66 steer -21243
5.67 steer -21789
5.68 steer -22336
5.73 steer -23430
5.74 steer -23977
5.75 steer -26164
5.76 steer -27258
5.77 steer -29992
5.78 steer -32179
5.79 steer -35460
5.80 steer -37647
5.81 steer -40382
5.82 steer -42022
5.83 steer -44209
5.84 steer -45303
5.85 steer -45850
5.86 steer -46397
5.87 steer -46943
5.89 steer -47490
5.90 steer -46943
5.92 steer -47490
5.95 steer -45850
5.96 steer -43662
5.97 steer -39835
5.98 steer -35460
5.99 steer -27805
6.00 steer -20696
6.01 steer -8119
6.02 steer 0
6.09 steer 1012
6.14 steer 0
6.31 steer -2651
6.32 steer -5932
6.33 steer -10306
6.34 steer -11947
6.35 steer -12493
6.38 steer -11400
6.39 steer -7572
6.40 steer -5385
6.41 steer -1557
6.42 steer 0
6.46 steer 1559
6.47 steer 2106
6.49 steer 2653
6.51 steer 2106
6.55 steer 1559
6.59 steer 0
6.60 steer 1012
6.65 steer 1559
6.66 steer 2106
6.67 steer 2653
6.68 steer 3746
6.69 steer 4293
6.78 steer 2653
6.79 steer 0
7.01 steer 2106
7.02 steer 6481
7.03 steer 15777
7.04 steer 25073
7.05 steer 47492
7.06 steer 54054
7.07 steer 62804
7.08 steer 63897
7.09 steer 62804
7.10 steer 63897
7.12 steer 64444
7.13 steer 64991
7.14 steer 64444
7.15 steer 64991
7.19 steer 65536
7.20 steer 64991
7.21 steer 65536
7.24 steer 64991
7.29 steer 43118
7.30 steer 30541
7.31 steer -13587
7.32 steer -23430
7.33 steer -64442
7.34 steer -63348
7.35 steer -61708
7.36 steer -62801
7.37 steer -64989
7.38 steer -65536
7.67 steer -64989
7.68 steer -63348
7.69 steer -50224
7.70 steer -40382
7.71 steer 50773
7.72 steer 63897
7.73 steer 65536
7.83 press up
7.84 steer 60616
7.85 steer 28900
7.86 steer 12496
7.87 steer 0
9.12 steer 1559
9.13 steer 2653
9.14 steer 10855
9.15 steer 16323
9.16 steer 31088
9.17 steer 35462
9.18 steer 50227
9.19 steer 56788
9.20 steer 57882
9.22 steer 58976
9.23 steer 59523
9.24 steer 60069
9.28 steer 60616
9.29 steer 60069
9.44 steer 57335
9.45 steer 53507
9.46 steer 31634
9.47 steer 26166
9.48 steer 8668
9.49 steer 4840
9.50 steer 0
9.58 steer -1010
9.60 steer 0
9.68 steer 4840
9.69 steer 7574
9.70 steer 17964
9.71 steer 19604
9.72 steer 27260
9.73 steer 28354
9.76 steer 25619
9.77 steer 23979
9.78 steer 14683
9.79 steer 11402
9.80 steer 0
9.86 steer -1557
9.88 steer -3197
9.90 steer -3744
9.92 steer -4291
9.95 steer -3744
9.96 steer 0
10.14 steer -1010
10.15 steer -1557
10.16 steer -3197
10.17 steer -3744
10.18 steer -9759
10.19 steer -11947
10.20 steer -16868
10.22 steer -14681
10.23 steer -13587
10.24 steer -7025
10.25 steer -5385
10.26 steer 0
10.30 steer 2106
10.34 steer 1012
10.36 steer 0
10.54 steer -2651
10.55 steer -3197
10.56 steer -7025
10.57 steer -7572
10.61 steer -7025
10.62 steer -5932
10.63 steer -5385
10.64 steer -4838
10.65 steer -3744
10.66 steer 0
10.75 steer -2651
10.76 steer -11400
10.77 steer -13587
10.78 steer -19602
10.79 steer -20149
10.80 steer -19055
10.81 steer -17962
10.82 steer -9759
10.83 steer -7025
10.84 steer 0
11.42 steer -4838
11.43 steer -7572
11.44 steer -26164
11.45 steer -29992
11.46 steer -48037
11.47 steer -53505
11.48 steer -59520
11.49 steer -61708
11.50 steer -62255
11.52 steer -62801
11.57 steer -63348
11.58 steer -63895
11.60 steer -63348
11.63 steer -62801
11.64 steer -58974
11.65 steer -56786
11.66 steer -48037
11.67 steer -45303
11.68 steer -43116
11.70 steer -42569
11.72 steer -44209
11.73 steer -44756
11.74 steer -49678
11.75 steer -50771
11.76 steer -58427
11.77 steer -58974
11.78 steer -61161
11.80 steer -62255
11.82 steer -63348
11.83 steer -63895
11.85 steer -64442
11.88 steer -64989
11.90 steer -65536
12.40-12.41 press down
12.60 steer -64989
12.61 steer -64442
12.62 steer -63348
12.64 steer -62255
12.65 steer -61708
12.66 steer -61161
12.68 steer -60614
12.70 steer -59520
12.72 steer -58427
12.73 steer -57880
12.74 steer -57333
12.75 steer -56786
12.76 steer -55693
12.79 steer -55146
13.24 steer -54052
13.26 steer -53505
13.32 steer -52959
13.36 steer -53505
13.38 steer -52959
13.39 steer -53505
13.43 steer -54052
13.48 steer -54599
13.49 steer -55146
13.50 steer -55693
13.51 steer -56239
13.52 steer -56786
13.54 steer -57333
13.56 steer -57880
13.57 steer -58427
13.59 steer -58974
13.66 steer -59520
13.69 steer -60067
13.71 steer -60614
13.72 steer -60067
13.73 steer -60614
13.79 steer -59520
13.80 steer -55693
13.81 steer -49678
13.82 steer -40928
13.83 steer -25070
13.84 steer -18509
13.85 steer 3200
13.86 steer 18511
13.87 steer 40930
13.88 steer 48586
13.89 steer 60069
13.90 steer 61163
13.91 steer 63350
13.92 steer 63897
13.93 steer 64991
13.94 steer 65536
14.04 steer 64444
14.05 steer 48586
14.06 steer 30541
14.07 steer 0
14.18 steer 2653
14.19 steer 13589
14.20 steer 22338
14.21 steer 31634
14.22 steer 33822
14.23 steer 31634
14.24 steer 26713
14.25 steer 15230
14.26 steer 7574
14.27 steer 0
14.85 steer -1557
14.86 steer -4291
14.87 steer -15228
14.88 steer -27258
14.89 steer -46943
14.90 steer -55146
14.91 steer -63895
14.92 steer -64989
14.93 steer -65536
15.15-15.16 press down
15.27 steer -64442
15.28 steer -63348
15.29 steer -62255
15.30 steer -61708
15.31 steer -60614
15.32 steer -59520
15.33 steer -57880
15.34 steer -56786
15.35 steer -54599
15.36 steer -53505
15.37 steer -51318
15.38 steer -49678
15.39 steer -48584
15.40 steer -48037
15.41 steer -46397
15.42 steer -45303
15.43 steer -44209
15.51 steer -44756
15.52 steer -45303
15.53 steer -45850
15.54 steer -46397
15.55 steer -46943
15.56 steer -48037
15.57 steer -49131
15.58 steer -49678
15.59 steer -50224
15.68 steer -49678
15.71 steer -49131
15.72 steer -48037
15.73 steer -46943
15.74 steer -46397
15.83 steer -46943
15.84 steer -47490
15.85 steer -48037
15.86 steer -48584
15.89 steer -49131
15.92 steer -49678
16.24 steer -49131
16.25 steer -49678
16.26 steer -49131
16.29 steer -48584
16.32 steer -48037
16.35 steer -47490
16.40 steer -46943
16.42 steer -46397
17.29 steer -45850
17.35 steer -45303
17.37 steer -44756
17.41 steer -44209
17.50 steer -43662
17.51 steer -44209
17.55 steer -43662
17.56 steer -44209
17.73 steer -44756
17.77 steer -45303
17.81 steer -45850
17.83 steer -46397
17.87 steer -44209
17.88 steer -43116
17.89 steer -38741
17.90 steer -29992
17.91 steer -11400
17.92 steer -6478
17.93 steer 10308
17.94 steer 17417
17.95 steer 38196
17.96 steer 42571
17.97 steer 50227
17.98 steer 58976
17.99 steer 62257
18.00 steer 62804
18.01 steer 63897
18.02 steer 64444
18.15 steer 63350
18.16 steer 60069
18.17 steer 53507
18.18 steer 38743
18.19 steer 17964
18.20 steer 13589
18.21 steer 0
18.24 steer -1010
18.26 steer -1557
18.29 steer 0
18.60 steer 1012
18.61 steer 3746
18.62 steer 7574
18.63 steer 16323
18.64 steer 18511
18.65 steer 22338
18.66 steer 27260
18.67 steer 29447
18.68 steer 31634
18.70 steer 32181
18.82 steer 31634
18.83 steer 32181
18.84 steer 30541
18.85 steer 29994
18.86 steer 28900
18.87 steer 27807
18.88 steer 26713
18.89 steer 25619
18.90 steer 24526
18.91 steer 23979
18.94 steer 22885
18.95 steer 22338
18.96 steer 21792
18.97 steer 21245
19.14 steer 20698
19.15 steer 21245
19.16 steer 20151
19.17 steer 18511
19.18 steer 13042
19.19 steer 5387
19.20 steer -3744
19.21 steer -13587
19.22 steer -29992
19.23 steer -42569
19.24 steer -52412
19.25 steer -62255
19.26 steer -63348
19.27 steer -64442
19.28 steer -65536
19.37 steer -64989
19.38 steer -56239
19.39 steer -52412
19.40 steer -19055
19.41 steer -3197
19.42 steer 50773
19.43 steer 55148
19.44 steer 59523
19.45 steer 60616
19.46 steer 65536
19.50 steer -5932
19.51 steer 4293
19.52 steer 0
19.60-19.66 press down
