0.00 press up
0.13 steer 826
0.14 steer 1936
0.15 steer 3009
0.16 steer 4095
0.17 steer 5222
0.18 steer 6306
0.19 steer 7411
0.21 steer 8504
0.34 steer 9596
0.36 steer 10721
0.44 steer 14018
0.45 steer 15079
0.46 steer 16209
0.47 steer 17301
0.64 steer 16192
0.67 steer 15088
0.82 steer 12893
0.83 steer 11815
0.84 steer 10700
0.85 steer 7408
0.86 steer 0
1.16 steer -794
1.17 steer -1871
1.18 steer -4016
1.19 steer -5115
1.20 steer -7268
1.21 steer -10506
1.22 steer -13724
1.23 steer -14808
1.24 steer -15923
1.26 steer -17005
1.42 steer -14838
1.43 steer -6195
1.44 steer 0
1.62 steer 5195
1.63 steer 15088
1.65 steer 16205
1.67 steer 15090
1.68 steer 9609
1.69 steer 837
1.70 steer 0
1.86 steer -774
1.97 steer -2953
1.98 steer -7256
1.99 steer -19132
2.00 steer -28876
2.01 steer -65536
2.29 steer -51565
2.30 steer -36444
2.31 steer -24559
2.32 steer -11569
2.33 steer 0
2.36 steer 3020
2.37 steer 6294
2.38 steer 11786
2.39 steer 15107
2.40 steer 17309
2.43 steer 18369
2.47 steer 20570
2.48 steer 23880
2.49 steer 24959
2.50 steer 26069
2.51 steer 27187
2.53 steer 28255
2.56 steer 29378
2.57 steer 30465
2.74 steer 32654
2.75 steer 37053
2.76 steer 39257
2.99 steer 34851
3.00 steer 26075
3.01 steer 20575
3.02 steer 12905
3.03 steer 4120
3.04 steer 0
3.10 steer -2915
3.11 steer -4002
3.12 steer -6193
3.13 steer -10506
3.14 steer -15921
3.15 steer -16993
3.16 steer -18069
3.22 steer -16986
3.23 steer -13739
3.24 steer -1839
3.25 steer 0
3.46 steer 805
3.47 steer 6306
3.48 steer 11785
3.49 steer 17290
3.53 steer 15096
3.54 steer 8523
3.55 steer 1904
3.56 steer 0
3.79 steer 4100
3.80 steer 7417
3.81 steer 10709
3.82 steer 12911
3.84 steer 5205
3.85 steer 0
3.99 steer -782
4.03 steer -1857
4.04 steer -2954
4.06 steer -4034
4.13 steer -1844
4.14 steer 0
4.25 steer -1846
4.28 steer -2928
4.32 steer -776
4.33 steer 0
4.43 steer -775
4.45 steer -1850
4.49 steer -2953
4.50 steer -4011
4.51 steer -5096
4.52 steer -6180
4.53 steer -7267
4.54 steer -8346
4.70 steer -9414
4.73 steer -10502
4.75 steer -11568
4.76 steer -12647
4.77 steer -13747
4.83 steer -14820
4.85 steer -15897
4.87 steer -16973
4.94 steer -18055
4.98 steer -19151
4.99 steer -20216
5.00 steer -23478
5.01 steer -29941
5.02 steer -31029
5.07 steer -29948
5.08 steer -28880
5.23 steer -27784
5.25 steer -23476
5.26 steer -17005
5.27 steer -12663
5.28 steer -4026
5.29 steer 0
5.32 steer 7420
5.33 steer 15083
5.34 steer 19495
5.35 steer 33747
5.36 steer 43648
5.37 steer 44722
5.38 steer 45848
5.39 steer 51321
5.40 steer 54628
5.43 steer 55721
5.45 steer 56837
5.47 steer 57918
5.49 steer 59020
5.58 steer 60102
5.59 steer 61198
5.64 steer 56802
5.65 steer 38137
5.66 steer 19492
5.67 steer 5224
5.68 steer 0
5.72 steer -3996
5.73 steer -12653
5.74 steer -18073
5.75 steer -21330
5.76 steer -25616
5.77 steer -31042
5.78 steer -35373
5.79 steer -53724
5.80 steer -65536
5.99 steer -46161
6.00 steer -23483
6.01 steer -11584
6.02 steer 0
6.04 steer 7424
6.05 steer 13999
6.06 steer 19479
6.07 steer 22773
6.08 steer 26088
6.09 steer 40357
6.10 steer 55716
6.11 steer 62298
6.12 steer 63421
6.13 steer 64514
6.42 steer 63416
6.43 steer 43654
6.44 steer 13993
6.45 steer 1918
6.46 steer 0
6.47 steer -10505
6.48 steer -21327
6.49 steer -31047
6.50 steer -51580
6.51 steer -54817
6.52 steer -63477
6.53 steer -65536
6.87 steer -41859
6.88 steer -26710
6.89 steer -16968
6.90 steer -4021
6.91 steer -791
6.92 steer 0
7.00 steer 4093
7.01 steer 10704
7.02 steer 16207
7.03 steer 21690
7.04 steer 29371
7.05 steer 57911
7.06 steer 62303
7.11 steer 52416
