0.00 press up
7.12 steer 38147
7.13 steer 14008
7.14 steer 825
7.15 steer 0
7.17 steer -767
7.19 steer 0
7.26 steer 5200
7.27 steer 8521
7.28 steer 14006
7.29 steer 17302
7.30 steer 16174
7.32 steer 15096
7.33 steer 13992
7.34 steer 11817
7.35 steer 1902
7.36 steer 0
7.41 steer 1924
7.42 steer 6300
7.43 steer 7412
7.47 steer 4117
7.48 steer 3015
7.49 steer 1917
7.50 steer 5223
7.51 steer 12894
7.52 steer 15100
7.53 steer 22779
7.54 steer 40369
7.55 steer 48038
7.56 steer 53521
7.57 steer 54626
7.61 steer 43637
7.62 steer 33751
7.63 steer 21690
7.64 steer 16184
7.66 steer 15092
7.67 steer 11782
7.68 steer 6328
7.69 steer 3035
7.73 steer 6309
7.74 steer 12913
7.75 steer 13981
7.78 steer 12883
7.79 steer 6324
7.80 steer 0
7.84 steer 1931
7.85 steer 6309
7.86 steer 8501
7.87 steer 14012
7.88 steer 15084
7.93 steer 16191
7.94 steer 18374
7.95 steer 27152
7.96 steer 34847
7.97 steer 35963
7.98 steer 37057
8.00 steer 35958
8.01 steer 26060
8.02 steer 22776
8.03 steer 19499
8.04 steer 14005
8.05 steer 10698
8.06 steer 6313
8.07 steer 816
8.08 steer 0
8.15 steer 800
8.16 steer 5206
8.17 steer 15083
8.18 steer 22795
8.19 steer 29352
8.20 steer 35961
8.21 steer 37063
8.22 steer 39252
8.23 steer 41463
8.26 steer 40352
8.27 steer 31576
8.28 steer 18391
8.29 steer 12910
8.30 steer 4129
8.31 steer 0
8.38 steer 6321
8.39 steer 15087
8.40 steer 26060
8.41 steer 34865
8.43 steer 32670
8.44 steer 23864
8.45 steer 15095
8.46 steer 10709
8.47 steer 3014
8.48 steer 0
8.55 steer 813
8.56 steer 4094
8.57 steer 5222
8.61 steer 6323
8.62 steer 11791
8.63 steer 14011
8.64 steer 15110
8.65 steer 19490
8.66 steer 22792
8.67 steer 23880
8.68 steer 24975
8.70 steer 26086
8.71 steer 34840
8.72 steer 39235
8.73 steer 43623
8.83 steer 40358
8.84 steer 39264
8.92 steer 38143
8.93 steer 37058
8.97 steer 38157
9.06 steer 37076
9.07 steer 35961
9.08 steer 34855
9.16 steer 32668
9.17 steer 28255
9.18 steer 21671
9.19 steer 17304
9.20 steer 15095
9.21 steer 9606
9.22 steer 7411
9.23 steer 8487
9.24 steer 12911
9.25 steer 16192
9.26 steer 20585
9.27 steer 29348
9.28 steer 34856
9.30 steer 35976
9.38 steer 33772
9.39 steer 28255
9.40 steer 18394
9.41 steer 15086
9.42 steer 6298
9.43 steer 0
9.52 steer -1837
9.55 steer -2940
9.56 steer -4019
9.57 steer -7265
9.76 steer -6188
9.85 steer -7278
9.86 steer -8350
9.87 steer -10506
9.88 steer -11564
9.89 steer -12674
9.90 steer -14843
9.91 steer -15899
9.92 steer -18084
9.94 steer -19140
9.95 steer -20210
9.96 steer -21322
10.19 steer -20231
10.21 steer -19144
10.29 steer -18067
10.30 steer -16981
10.31 steer -15923
10.32 steer -14844
10.37 steer -11601
10.38 steer -6182
10.39 steer -2937
10.40 steer -773
10.41 steer 0
10.47 steer 1906
10.48 steer 6323
10.49 steer 9615
10.50 steer 15102
10.55 steer 14018
10.56 steer 5199
10.57 steer 0
10.66 steer 4122
10.67 steer 15097
10.68 steer 16194
10.70 steer 15107
10.71 steer 14007
10.72 steer 8496
10.73 steer 0
11.03 steer -1843
11.04 steer -2949
11.06 steer -6198
11.07 steer -8348
11.08 steer -11587
11.12 steer -6178
11.13 steer -2953
11.14 steer 0
11.23 steer 839
11.24 steer 3028
11.25 steer 8503
11.26 steer 15086
11.30 steer 11796
11.31 steer 1934
11.32 steer 0
11.38 steer -767
11.39 steer -1852
11.40 steer -2945
11.41 steer -5114
11.42 steer -7273
11.43 steer -10487
11.44 steer -12681
11.45 steer -14814
11.48 steer -15889
11.49 steer -16988
11.50 steer -18082
11.51 steer -19138
11.52 steer -20239
11.53 steer -22392
11.54 steer -25646
11.55 steer -31031
11.56 steer -34282
11.57 steer -45108
11.58 steer -50483
11.59 steer -52676
11.66 steer -51579
11.67 steer -48315
11.68 steer -45101
11.69 steer -41836
11.70 steer -39704
11.75 steer -35347
11.76 steer -20220
11.77 steer -16994
11.78 steer -7247
11.79 steer -756
11.80 steer 0
11.99 steer 4103
12.00 steer 10708
12.01 steer 16206
12.02 steer 17284
12.03 steer 18382
12.04 steer 17281
12.05 steer 15107
12.07 steer 12916
12.08 steer 7419
12.09 steer 0
12.14 steer -1842
12.15 steer -6189
12.16 steer -7251
12.19 steer -6195
12.20 steer -1849
12.21 steer 0
12.25 steer 6306
12.26 steer 15099
12.27 steer 17296
12.32 steer 15114
12.33 steer 14007
12.34 steer 12900
12.35 steer 8498
12.36 steer 5202
12.39 steer 7388
12.40 steer 10722
12.41 steer 13990
12.44 steer 11799
12.45 steer 1910
12.46 steer 0
