0.00-8.24 press up
0.37 steer 688
0.38 steer 1427
0.40 steer 2216
0.41 steer 2621
0.42 steer 3012
0.43 steer 4114
0.44 steer 4716
0.45 steer 5323
0.46 steer 6325
0.48 steer 7062
0.49 steer 7349
0.50 steer 7569
0.51 steer 7871
0.53 steer 8077
0.57 steer 8284
0.76 steer 8003
0.77 steer 7775
0.78 steer 7471
0.79 steer 6592
0.80 steer 6179
0.81 steer 5805
0.82 steer 5129
0.83 steer 4784
0.85 steer 4186
0.87 steer 3477
0.88 steer 2831
0.90 steer 2271
0.91 steer 2029
0.92 steer 1840
0.93 steer 1514
0.95 steer 1290
0.96 steer 1084
0.98 steer 868
0.99 steer 0
1.36 steer 1220
1.38 steer 1812
1.39 steer 2410
1.40 steer 3258
1.41 steer 5301
1.42 steer 6386
1.43 steer 7332
1.44 steer 8986
1.45 steer 9566
1.46 steer 10045
1.47 steer 10732
1.48 steer 10964
1.50 steer 11297
1.51 steer 11508
1.54 steer 11727
1.60 steer 11495
1.61 steer 11288
1.63 steer 11095
1.65 steer 10919
1.66 steer 10732
1.68 steer 10488
1.69 steer 10216
1.71 steer 9879
1.72 steer 9660
1.74 steer 8964
1.75 steer 8762
1.77 steer 8421
1.79 steer 8129
1.80 steer 7940
1.82 steer 7788
1.85 steer 7608
1.88 steer 7458
1.89 steer 6816
1.91 steer 6047
1.92 steer 5414
1.94 steer 4664
1.95 steer 3944
1.96 steer 3262
1.97 steer 2142
1.98 steer 1638
1.99 steer 1140
2.00 steer 0
3.30 steer 736
3.31 steer 1514
3.32 steer 1866
3.33 steer 2177
3.35 steer 2766
3.36 steer 3325
3.38 steer 3794
3.39 steer 4010
3.41 steer 4347
3.42 steer 4616
3.44 steer 4840
3.47 steer 5103
3.51 steer 5345
3.55 steer 5658
3.56 steer 5955
3.58 steer 6675
3.60 steer 7001
3.61 steer 7845
3.63 steer 8710
3.64 steer 9373
3.66 steer 9640
3.67 steer 10001
3.69 steer 10234
3.71 steer 10462
3.74 steer 9238
3.75 steer 8310
3.76 steer 7371
3.77 steer 6097
3.78 steer 3890
3.80 steer 1953
3.81 steer 0
4.30 steer 2244
4.31 steer 20045
4.33 steer 39659
4.34 steer 55000
4.36 steer 65536
4.64 steer 61681
4.65 steer 60285
4.66 steer 43183
4.67 steer 20984
4.69 steer 4071
4.70 steer -21121
4.72 steer -42674
4.73 steer -44570
4.75 steer -45211
4.76 steer -43933
4.77 steer -41615
4.78 steer -20228
4.79 steer -19125
4.80 steer -16908
4.81 steer -14145
4.82 steer -11425
4.83 steer 0
5.28 steer 807
5.29 steer 1066
5.31 steer 1290
5.34 steer 1527
5.39 steer 1097
5.41 steer 0
5.45 steer -12695
5.47 steer -30711
5.48 steer -51094
5.49 steer -65536
6.09 steer -63720
6.10 steer -61207
6.11 steer -43709
6.12 steer -25528
6.14 steer -7005
6.15 steer -3808
6.17 steer 0
6.82 steer -2797
6.83 steer -3847
6.84 steer -4836
6.85 steer -5851
6.86 steer -6703
6.87 steer -7982
6.89 steer -8838
6.90 steer -9399
6.92 steer -9742
6.93 steer -9975
6.95 steer -9690
6.97 steer -9238
6.98 steer -8021
7.00 steer -6416
7.01 steer -5077
7.03 steer -4075
7.04 steer -3386
7.05 steer -3118
7.06 steer -2890
7.07 steer -2603
7.09 steer -2371
7.12 steer -2147
7.18 steer -1931
7.20 steer -2090
7.21 steer -2814
7.22 steer -3821
7.23 steer -5203
7.24 steer -6695
7.25 steer -8125
7.26 steer -10656
7.28 steer -12845
7.29 steer -15493
7.30 steer -17197
7.31 steer -18836
7.32 steer -21889
7.33 steer -23171
7.34 steer -24182
7.36 steer -25650
7.37 steer -26586
7.39 steer -27187
7.40 steer -27380
7.41 steer -26958
7.42 steer -26028
7.43 steer -23312
7.45 steer -20502
7.46 steer -19169
7.48 steer -16530
7.49 steer -15204
7.50 steer -13664
7.51 steer -10134
7.52 steer -8214
7.53 steer -5895
7.54 steer -1514
7.56 steer 0
7.82 steer -16164
7.84 steer -17610
7.85 steer -19375
7.87 steer -20004
7.88 steer -19175
7.89 steer -16745
7.90 steer 0
7.96 steer 1579
7.98 steer 1179
7.99 steer 0
8.35 steer 2590
8.37 steer 22086
8.37 press up
8.38 steer 25636
8.40 steer 43709
8.41 steer 61198
8.43 steer 65536
9.23 steer 61611
9.24 steer 58114
9.26 steer 39452
9.27 steer 23915
9.29 steer 19591
9.30 steer 17030
9.31 steer 14404
9.32 steer 9260
9.33 steer 7182
9.34 steer 5397
9.35 steer 3899
9.36 steer 2590
9.37 steer 1444
9.38 steer 0
10.84 steer 825
10.85 steer 1303
10.87 steer 2323
10.88 steer 3808
10.89 steer 5038
10.90 steer 6408
10.91 steer 9012
10.92 steer 10327
10.93 steer 11588
10.94 steer 14153
10.96 steer 16891
10.97 steer 19680
10.99 steer 22856
11.00 steer 24134
11.01 steer 26032
11.02 steer 26617
11.04 steer 25873
11.05 steer 8451
11.07 steer 6012
11.08 steer 1962
11.09 steer 0
11.15 steer -960
11.16 steer -2581
11.17 steer -3110
11.20 steer -2788
11.21 steer -1390
11.22 steer 0
11.61 steer -16827
11.63 steer -36615
11.65 steer -37402
11.66 steer -37730
11.67 steer -35889
11.68 steer -20502
11.69 steer -18880
11.70 steer -3218
11.71 steer 0
11.85 steer -1044
11.86 steer -1773
11.88 steer -997
11.89 steer 0
12.19 steer 1484
12.20 steer 17954
12.22 steer 34687
12.23 steer 36530
12.24 steer 51902
12.25 steer 65536
15.03 steer 65262
15.05 steer 35926
15.06 steer 0
15.08 steer -28145
15.09 steer -62368
15.11 steer -65536
16.59 steer -65329
16.60 steer -64572
16.61 steer -61129
16.62 steer -58374
16.64 steer -39276
16.65 steer -34567
16.66 steer -19056
16.68 steer -18317
16.69 steer -17928
16.70 steer -17321
16.73 steer -18054
16.74 steer -21221
16.76 steer -26006
16.77 steer -28584
16.78 steer -33548
16.79 steer -36065
16.81 steer -40213
16.82 steer -43054
16.83 steer -44163
16.84 steer -45163
16.85 steer -46346
16.86 steer -48313
16.87 steer -65055
16.89 steer -65536
17.18 steer -65262
17.20 steer -62542
17.21 steer -41298
17.22 steer -39989
17.23 steer -37761
17.24 steer -35522
17.25 steer -33637
17.26 steer -30974
17.27 steer -30465
17.28 steer -30856
17.29 steer -33693
17.30 steer -35491
17.31 steer -37648
17.32 steer -41246
17.34 steer -43965
17.35 steer -45446
17.36 steer -47581
17.37 steer -65536
17.47 steer -59959
17.48 steer -58818
17.49 steer -56516
17.50 steer -39456
17.51 steer -38987
17.53 steer -39743
17.54 steer -61611
17.55 steer -65536
18.33 steer -65468
18.34 steer -65153
18.35 steer -63040
18.37 steer -59177
18.38 steer -43380
18.40 steer -21534
18.42 steer -19995
18.43 steer -2323
18.45 steer -2018
18.46 steer -2775
18.48 steer -6473
18.49 steer -11162
18.51 steer -15764
18.52 steer -18936
18.54 steer -19012
18.55 steer -16654
18.56 steer 0
18.61 steer 975
18.62 steer 1794
18.63 steer 2960
18.64 steer 3271
18.67 steer 3051
18.68 steer 2547
18.69 steer 1549
18.71 steer 0
19.40 steer -13684
19.41 steer -14706
19.42 steer -16636
19.43 steer -18941
19.45 steer -22826
19.46 steer -25597
19.47 steer -27358
19.49 steer -26621
19.50 steer -24560
19.51 steer -21780
19.52 steer -3494
19.54 steer 0
19.63 steer 1501
19.65 steer 1966
19.66 steer 2675
19.67 steer 2934
19.69 steer 3258
19.70 steer 3527
19.73 steer 3751
19.76 steer 4140
19.77 steer 6092
19.79 steer 23602
19.80 steer 25773
19.81 steer 47426
19.83 steer 63403
19.84 steer 65536
20.58 steer 61818
20.59 steer 59572
20.60 steer 38819
20.61 steer 36132
20.62 steer 14882
20.63 steer 13125
20.64 steer 10784
20.65 steer 6066
20.66 steer 3979
20.67 steer 2240
20.68 steer 757
20.69 steer 0
20.88 steer -1347
20.89 steer -2494
20.90 steer -3729
20.91 steer -6497
20.92 steer -7910
20.93 steer -9175
20.94 steer -11597
20.96 steer -14034
20.97 steer -16877
20.98 steer -18419
20.99 steer -19899
21.01 steer -23015
21.02 steer -25769
21.03 steer -27030
21.04 steer -28150
21.05 steer -29115
21.06 steer -29928
21.07 steer -30578
21.08 steer -31537
21.09 steer -31880
21.10 steer -32156
21.11 steer -32561
21.13 steer -32713
21.14 steer -32943
21.16 steer -33121
21.19 steer -33478
21.20 steer -33706
21.21 steer -33987
21.22 steer -34580
21.24 steer -35239
21.25 steer -35543
21.26 steer -35815
21.27 steer -36087
21.28 steer -36672
21.30 steer -37296
21.31 steer -37589
21.32 steer -37837
21.33 steer -38209
21.35 steer -38433
21.36 steer -38587
21.39 steer -38737
21.44 steer -38887
21.48 steer -39056
21.50 steer -39296
21.53 steer -39491
21.54 steer -39689
21.56 steer -39904
21.60 steer -40059
21.63 steer -40270
21.65 steer -40420
21.66 steer -40639
21.67 steer -40820
21.71 steer -40996
21.74 steer -41139
21.79 steer -41341
21.80 steer -42150
21.81 steer -42589
21.82 steer -42980
21.83 steer -43591
21.84 steer -43863
21.85 steer -44070
21.86 steer -44426
21.88 steer -44633
21.91 steer -44796
21.97 steer -44948
22.16 steer -44535
22.17 steer -43657
22.19 steer -42672
22.20 steer -42313
22.21 steer -42004
22.22 steer -41385
22.24 steer -40274
22.25 steer -36698
22.27 steer -19882
22.28 steer -3631
22.30 steer 0
23.13 steer 740
23.14 steer 1273
23.15 steer 1536
23.16 steer 1884
23.17 steer 3303
23.19 steer 7488
23.21 steer 23502
23.22 steer 24939
23.23 steer 28895
23.25 steer 32902
23.26 steer 34950
23.27 steer 38487
23.28 steer 40191
23.29 steer 41939
23.30 steer 44026
23.31 steer 48955
23.33 steer 52918
23.35 steer 55509
23.36 steer 55827
23.38 steer 54557
23.39 steer 50672
23.40 steer 31243
23.42 steer 27552
23.43 steer 12032
23.44 steer 10499
23.45 steer 0
23.49 steer -1453
23.50 steer -1755
23.52 steer -1944
23.53 steer -2142
23.55 steer -4268
23.56 steer -8860
23.58 steer -23049
23.59 steer -23247
23.60 steer -22589
23.61 steer -18230
23.62 steer -2186
23.63 steer 0
23.71 steer -657
23.72 steer -842
23.74 steer 0
23.91 steer -1070
23.92 steer -2977
23.93 steer -3662
23.94 steer -4194
23.95 steer -4940
23.96 steer -5327
23.97 steer -5818
23.98 steer -6716
23.99 steer -8323
24.00 steer -8986
24.02 steer -10014
24.03 steer -10673
24.04 steer -10906
24.05 steer -11201
24.06 steer -11951
24.07 steer -12243
24.08 steer -12480
24.09 steer -10973
24.11 steer -6936
24.12 steer -4514
24.13 steer -2314
24.14 steer 0
24.47 steer -1729
24.48 steer -4879
24.49 steer -6299
24.50 steer -7532
24.52 steer -9360
24.53 steer -10547
24.54 steer -10969
24.55 steer -11601
24.56 steer -11843
24.58 steer -12162
24.59 steer -12356
24.65 steer -12514
24.70 steer -11977
24.71 steer -11369
24.72 steer -10638
24.73 steer -9329
24.75 steer -8451
24.76 steer -8151
24.77 steer -7923
24.78 steer -8399
24.79 steer -9347
24.81 steer -9984
24.82 steer -10216
24.83 steer -10401
24.84 steer -10551
24.85 steer -10779
24.87 steer -10921
24.90 steer -11069
25.10 steer -10095
25.11 steer -9242
25.12 steer -7999
25.13 steer -6838
25.14 steer -5851
25.15 steer -4397
25.16 steer -3890
25.17 steer -3468
25.19 steer -2875
25.20 steer -2547
25.22 steer -2331
25.26 steer -2064
25.28 steer -812
25.29 steer 0
25.44 steer -1668
25.45 steer -5938
25.46 steer -7849
25.47 steer -9514
25.48 steer -12140
25.50 steer -13880
25.51 steer -14962
25.53 steer -15660
25.54 steer -15914
25.55 steer -16117
25.56 steer -16280
25.58 steer -16512
25.59 steer -16662
25.61 steer -15721
25.62 steer -14904
25.64 steer -12673
25.65 steer -10551
25.66 steer -9777
25.67 steer -9158
25.68 steer -8236
25.69 steer -7910
25.70 steer -7660
25.72 steer -7340
25.74 steer -7492
25.76 steer -7655
25.83 steer -7405
25.84 steer -6971
25.87 steer -6640
25.88 steer -6429
25.90 steer -6764
25.92 steer -8232
25.93 steer -9062
25.94 steer -9782
25.95 steer -11090
25.96 steer -11749
25.97 steer -12510
25.98 steer -14223
26.00 steer -15545
26.01 steer -16451
26.03 steer -17021
26.04 steer -17236
26.05 steer -17421
26.06 steer -17584
26.07 steer -17812
26.08 steer -18023
26.09 steer -18573
26.10 steer -18797
26.11 steer -19156
26.13 steer -19371
26.17 steer -18678
26.18 steer -16301
26.19 steer -14060
26.20 steer -11521
26.21 steer 0
26.34 steer -955
26.35 steer -1440
26.36 steer -1616
26.37 steer -1857
26.39 steer -2771
26.40 steer -4053
26.42 steer -4940
26.43 steer -5538
26.44 steer -5766
26.45 steer -5934
26.47 steer -6079
26.48 steer -6290
26.53 steer -6455
26.62 steer -6097
26.63 steer -5595
26.64 steer -5051
26.65 steer -4114
26.66 steer -3701
26.67 steer -3329
26.68 steer -2666
26.70 steer -2099
26.71 steer -1884
26.72 steer -1575
26.75 steer -1307
