0.00-19.80 press up
12.55 steer -1562
12.56 steer -2827
12.57 steer -3838
12.58 steer -4598
12.59 steer -4345
12.60 steer -4598
12.61 steer -4345
12.62 steer -4598
12.63 steer -4345
12.66 steer -4598
12.67 steer -4345
12.68 steer -1562
12.69 steer 0
13.04 steer 10167
13.05 steer 18763
13.06 steer 29383
13.07 steer 50875
13.08 steer 61240
13.09 steer 65536
13.54 steer 65287
13.55 steer 64275
13.56 steer 62504
13.58 steer 60735
13.62 steer 60482
13.64 steer 61493
13.65 steer 65536
14.19 steer 58713
14.20 steer 52897
14.21 steer 46575
14.22 steer 46828
14.24 steer 46575
14.26 steer 50875
14.27 steer 56184
14.28 steer 65033
14.29 steer 65536
14.41 steer 58713
14.42 steer 51633
14.43 steer 36968
14.44 steer 30901
14.45 steer 18763
14.46 steer 15730
14.47 steer 13201
14.48 steer 12443
14.50 steer 14718
14.51 steer 18763
14.52 steer 31406
14.53 steer 36968
14.54 steer 49864
14.55 steer 53402
14.56 steer 56437
14.57 steer 65536
14.66 steer 60989
14.67 steer 36968
14.68 steer 30141
14.69 steer 23063
14.70 steer 12189
14.71 steer 9663
14.72 steer 6374
14.73 steer 6123
14.75 steer 5869
14.76 steer 6123
14.77 steer 6627
14.78 steer 12443
14.79 steer 16487
14.80 steer 20534
14.81 steer 25590
14.85 steer 21039
14.86 steer 15730
14.87 steer 7134
14.88 steer 3847
14.89 steer 0
15.01 steer -805
15.02 steer -2574
15.03 steer -4598
15.04 steer -6367
15.05 steer -13447
15.06 steer -23054
15.07 steer -28363
15.08 steer -33421
15.09 steer -34937
15.11 steer -35697
15.14 steer -32410
15.15 steer -26088
15.16 steer -6874
15.17 steer -805
15.18 steer 0
15.58 steer 811
15.59 steer 5616
15.60 steer 18005
15.61 steer 33428
15.62 steer 42277
15.63 steer 50115
15.63-15.74 press down
15.64 steer 65287
15.65 steer 65536
16.99 steer 65033
17.00 steer 57953
17.01 steer 52897
17.02 steer 46575
17.03 steer 37979
17.04 steer 34439
17.05 steer 30648
17.06 steer 23821
17.07 steer 20787
17.08 steer 16741
17.09 steer 8145
17.11 steer 3340
17.12 steer 2582
17.13 steer 2329
17.15 steer 2076
17.17 steer 1825
17.23 steer 2076
17.24 steer 1825
17.53 steer 1571
17.55 steer 1825
