0.00-26.97 press up
1.83-2.66 press left
3.56 steer -3974
3.57 steer -7618
3.58 steer -9153
3.59 steer -12797
3.60 steer -16920
3.61 steer -17953
3.62 steer -19491
3.63 steer -20037
3.64 steer -22075
3.65 steer -23113
3.67 steer -23652
3.68 steer -24169
3.70 steer -24694
3.81 steer -23636
3.82 steer -22618
3.83 steer -22110
3.84 steer -21561
3.92 steer -22098
3.96 steer -22615
3.98 steer -23638
3.99 steer -24149
4.23 steer -25188
4.24 steer -26741
4.25 steer -27762
4.26 steer -29350
4.27 steer -30359
4.28 steer -39167
4.29 steer -46907
4.30 steer -55172
4.31 steer -65536
4.94 steer -63984
4.95 steer -58280
4.96 steer -42790
4.97 steer -40200
4.98 steer -34507
4.99 steer -31385
5.00 steer -29840
5.01 steer -29333
5.02 steer -29830
5.12 steer -29340
5.15 steer -28806
5.16 steer -28281
5.17 steer -25719
5.18 steer -24156
5.19 steer -20043
5.20 steer -17425
5.21 steer -12276
5.22 steer -9160
5.23 steer -5031
5.24 steer 0
5.28 steer 1947
5.29 steer 3526
5.31 steer 2978
5.36 steer 3518
5.37 steer 3006
5.39 steer 1950
5.40 steer 901
5.42 steer 0
5.56 steer 921
5.57 steer 2455
5.59 steer 3503
5.60 steer 4024
5.61 steer 4552
5.62 steer 8732
5.63 steer 11845
5.64 steer 16543
5.65 steer 18625
5.66 steer 21744
5.67 steer 23314
5.68 steer 23842
5.69 steer 24355
5.70 steer 24873
5.71 steer 26442
5.72 steer 27501
5.73 steer 29043
5.74 steer 30109
5.75 steer 30600
5.76 steer 32678
5.78 steer 33761
5.79 steer 35296
5.80 steer 35818
5.81 steer 36849
5.82 steer 37909
5.83 steer 38441
5.84 steer 39464
5.85 steer 39990
5.93 steer 39475
5.99 steer 38447
6.04 steer 37387
6.06 steer 36887
6.07 steer 36345
6.08 steer 35841
6.09 steer 33726
6.10 steer 31141
6.11 steer 30080
6.12 steer 25906
6.13 steer 23841
6.14 steer 21755
6.15 steer 14968
6.16 steer 10785
6.17 steer 4049
6.18 steer 1944
6.19 steer 0
6.70 steer 892
6.71 steer 2467
6.72 steer 3499
6.74 steer 4047
6.75 steer 5055
6.76 steer 6650
6.80 steer 5061
6.81 steer 4538
6.82 steer 2998
6.83 steer 2468
