0.00-20.56 press up
1.14 steer 814
1.15 steer 2547
1.18 steer 3125
1.19 steer 3703
1.23 steer 4858
1.24 steer 5436
1.25 steer 6591
1.26 steer 7169
1.27 steer 7747
1.28 steer 9480
1.29 steer 10636
1.30 steer 11216
1.31 steer 11794
1.32 steer 13527
1.33 steer 14105
1.35 steer 15261
1.39 steer 15838
1.40 steer 16994
1.42 steer 17572
1.43 steer 18150
1.44 steer 19305
1.47 steer 19883
1.53 steer 21039
1.62 steer 19305
1.66 steer 17572
1.70 steer 15261
1.71 steer 11216
1.73 steer 9480
1.74 steer 8903
1.75 steer 4858
1.76 steer 2547
1.77 steer 0
1.99 steer 2547
2.00 steer 3125
2.01 steer 3703
2.02 steer 6591
2.04 steer 7169
2.06 steer 7747
2.12 steer 5436
2.13 steer 3703
2.14 steer 814
2.15 steer 0
2.37 steer 1391
2.38 steer 2547
2.39 steer 3703
2.41 steer 4858
2.44 steer 3703
2.53 steer 5436
2.54 steer 6591
2.55 steer 7169
2.56 steer 7747
2.61 steer 8903
2.62 steer 9480
2.63 steer 10636
2.64 steer 11216
2.66 steer 11794
2.68 steer 12949
2.72 steer 13527
2.75 steer 14105
2.76 steer 15261
2.77 steer 16994
2.78 steer 17572
2.79 steer 19883
2.80 steer 21039
2.81 steer 21616
2.82 steer 22194
2.83 steer 23352
2.84 steer 25085
2.85 steer 26241
2.86 steer 27397
2.87 steer 29130
2.88 steer 29708
2.89 steer 30286
2.90 steer 31441
2.91 steer 32019
2.92 steer 32597
2.94 steer 33752
2.96 steer 34330
2.97 steer 35488
2.99 steer 36644
3.00 steer 37799
3.01 steer 38377
3.02 steer 40110
3.03 steer 41844
3.04 steer 42421
3.06 steer 44155
3.08 steer 48202
3.09 steer 49935
3.10 steer 52824
3.11 steer 56291
3.12 steer 58024
3.13 steer 58602
3.14 steer 60338
3.15 steer 60915
3.19 steer 55135
3.20 steer 51091
3.21 steer 48779
3.22 steer 48202
3.23 steer 45888
3.24 steer 44733
3.25 steer 46466
3.27 steer 47624
3.28 steer 52824
3.29 steer 54557
3.30 steer 60915
3.31 steer 64382
3.32 steer 65536
3.46 steer 63227
3.47 steer 58602
3.48 steer 56869
3.49 steer 49935
3.50 steer 41844
3.51 steer 37799
3.52 steer 36644
3.53 steer 31441
3.54 steer 21616
3.55 steer 4858
3.56 steer 0
3.59 steer -1818
3.60 steer -5800
3.61 steer -8645
3.62 steer -11489
3.63 steer -14903
3.64 steer -16041
3.65 steer -17178
3.66 steer -21161
3.67 steer -21730
3.68 steer -23436
3.69 steer -26281
3.70 steer -27419
3.71 steer -28557
3.72 steer -29126
4.04 steer -26850
4.05 steer -26281
4.06 steer -24574
4.08 steer -24005
4.12 steer -25712
4.13 steer -24005
4.14 steer -23436
4.15 steer -21730
4.16 steer -21161
4.20 steer -23436
4.23 steer -26850
4.24 steer -27419
4.25 steer -28557
4.26 steer -29694
4.27 steer -33108
4.28 steer -33677
4.29 steer -34246
4.30 steer -37090
4.31 steer -41641
4.32 steer -42210
4.33 steer -43917
4.34 steer -45624
4.35 steer -47331
4.36 steer -48468
4.39 steer -46762
4.51 steer -51313
4.52 steer -56433
4.53 steer -63260
4.54 steer -65536
4.81 steer -63829
4.82 steer -51313
4.83 steer -49037
4.84 steer -43917
4.85 steer -43348
4.86 steer -45624
4.89 steer -46193
4.90 steer -51882
4.91 steer -53020
4.92 steer -53588
4.97 steer -51882
4.98 steer -47331
4.99 steer -49037
5.00 steer -49606
5.01 steer -55864
5.02 steer -65536
5.24 steer -63829
5.25 steer -48468
5.26 steer -36521
5.27 steer -29694
5.28 steer -28557
5.29 steer -23436
5.30 steer -21730
5.31 steer -23436
5.32 steer -24005
5.33 steer -24574
5.41 steer -27419
5.42 steer -31970
5.43 steer -34246
5.44 steer -50744
5.45 steer -62122
5.46 steer -65536
5.71 steer -44486
5.72 steer -29694
5.73 steer -9783
5.74 steer 0
5.76 steer 2547
5.77 steer 10636
5.78 steer 17572
5.79 steer 37799
5.80 steer 44155
5.81 steer 51091
5.82 steer 56291
5.83 steer 60338
5.84 steer 60915
5.89 steer 58024
5.90 steer 55135
5.91 steer 51091
5.92 steer 48779
5.93 steer 48202
5.94 steer 44155
5.96 steer 36644
5.97 steer 39532
5.98 steer 32597
5.99 steer 29130
6.00 steer 27974
6.01 steer 25663
6.02 steer 19305
