0.00-19.68 press up
0.82 steer 984
0.87 steer 1540
0.91 steer 2097
0.96 steer 3210
0.99 steer 2097
1.40 steer 3766
1.42 steer 4879
1.43 steer 5436
1.45 steer 5992
2.39 steer 3766
2.40 steer 3210
2.41 steer 2097
2.42 steer 1540
2.43 steer 0
3.33 steer -1084
3.34 steer -2779
3.35 steer -3910
3.36 steer -4475
3.39 steer -2779
3.43 steer 0
3.55 steer -4475
3.56 steer -6171
3.57 steer -8434
3.58 steer -8999
3.59 steer -10129
3.61 steer -8434
3.62 steer -6171
3.64 steer -5605
3.65 steer -2214
3.66 steer 0
3.98 steer 1540
3.99 steer 3210
4.01 steer 3766
4.02 steer 5436
4.03 steer 7662
4.04 steer 8775
4.05 steer 9332
4.07 steer 9888
4.29 steer 11001
4.35 steer 9888
4.43 steer 11558
4.44 steer 12669
4.45 steer 13225
4.47 steer 14895
4.48 steer 15451
4.49 steer 16008
4.50 steer 17121
4.51 steer 18791
4.52 steer 19347
4.53 steer 19904
4.54 steer 21017
4.55 steer 24913
4.56 steer 27139
4.57 steer 29365
4.58 steer 31591
4.59 steer 37713
4.60 steer 43278
4.61 steer 48842
4.62 steer 56633
4.63 steer 65536
4.78 steer 63312
4.79 steer 59416
4.80 steer 57190
4.81 steer 55520
4.82 steer 54963
4.83 steer 56633
4.88 steer 57190
4.94 steer 58303
4.97 steer 58859
4.98 steer 59416
4.99 steer 61085
5.00 steer 62198
5.02 steer 62755
5.10 steer 61085
5.16 steer 59416
5.17 steer 58303
5.27 steer 57190
5.28 steer 56633
5.30 steer 55520
5.31 steer 53294
5.32 steer 52737
5.33 steer 51624
5.34 steer 51068
5.35 steer 50511
5.36 steer 49398
5.41 steer 51068
5.44 steer 51624
5.79 steer 49398
5.80 steer 48842
5.81 steer 47174
5.82 steer 44948
5.83 steer 38826
5.84 steer 35487
5.85 steer 33261
5.86 steer 27139
5.88 steer 19904
5.89 steer 17121
5.90 steer 13782
5.91 steer 8775
5.92 steer 7105
5.93 steer 5436
