0.00-7.53 press up
0.01 steer -1527
0.02 steer -2018
0.03 steer -2440
0.04 steer -2831
0.05 steer -3287
0.06 steer -4511
0.08 steer -6294
0.09 steer -8625
0.10 steer -9912
0.11 steer -11087
0.12 steer -12083
0.13 steer -12889
0.14 steer -14058
0.15 steer -14443
0.16 steer -14778
0.17 steer -15221
0.19 steer -15445
0.21 steer -15594
0.29 steer -15365
0.43 steer -15163
0.51 steer -14961
0.56 steer -14750
0.61 steer -14516
0.67 steer -14318
0.75 steer -14116
0.84 steer -13238
0.85 steer -12621
0.86 steer -11038
0.87 steer -10209
0.88 steer -9389
0.89 steer -8654
0.90 steer -6898
0.91 steer -5787
0.92 steer -4631
0.93 steer -1936
0.95 steer 0
1.08 steer 674
1.09 steer 2958
1.11 steer 4234
1.12 steer 6814
1.13 steer 8060
1.14 steer 10458
1.15 steer 11627
1.16 steer 12721
1.17 steer 13672
1.18 steer 15167
1.19 steer 15685
1.20 steer 16123
1.21 steer 16476
1.22 steer 16758
1.23 steer 16970
1.24 steer 17312
1.26 steer 17552
1.28 steer 17758
1.55 steer 17576
1.56 steer 17163
1.58 steer 14947
1.59 steer 11369
1.60 steer 8898
1.61 steer 6587
1.62 steer 4500
1.63 steer 2607
1.64 steer 0
1.93 steer -2511
1.95 steer -24919
1.96 steer -26883
1.97 steer -45579
1.98 steer -65073
1.99 steer -65536
2.15 steer -62158
2.16 steer -59415
2.17 steer -28697
2.18 steer -4843
2.19 steer 0
2.20 steer 13787
2.21 steer 16438
2.22 steer 36317
2.23 steer 57784
2.24 steer 58286
2.25 steer 60029
2.26 steer 65536
2.37 steer 62713
2.38 steer 61698
2.39 steer 41484
2.40 steer 38606
2.41 steer 4711
2.42 steer 0
2.43 steer -23396
2.44 steer -26010
2.45 steer -49502
2.46 steer -65536
2.62 steer -63747
2.63 steer -26708
2.64 steer 0
2.65 steer 6963
2.66 steer 22932
2.67 steer 46719
2.68 steer 48599
2.69 steer 50462
2.70 steer 51977
2.71 steer 54153
2.73 steer 55660
2.74 steer 56226
2.75 steer 57046
2.76 steer 57366
2.77 steer 57620
2.78 steer 57851
2.79 steer 58049
2.81 steer 58335
2.82 steer 57917
2.84 steer 34261
2.85 steer 16903
2.86 steer 0
2.87 steer -19090
2.89 steer -21859
2.90 steer -48471
2.91 steer -65536
3.03 steer -60700
3.04 steer -25583
3.06 steer 3451
3.07 steer 27372
3.09 steer 50960
3.10 steer 52351
3.11 steer 53555
3.12 steer 54546
3.13 steer 56244
3.14 steer 56989
3.15 steer 57569
3.16 steer 58062
3.17 steer 58864
3.18 steer 59151
3.19 steer 59409
3.20 steer 59640
3.21 steer 59971
3.23 steer 60273
3.24 steer 59813
3.25 steer 59342
3.26 steer 37112
3.27 steer 20083
3.28 steer 0
3.29 steer -11403
3.31 steer -34261
3.32 steer -55069
3.33 steer -65536
3.46 steer -64940
3.47 steer -32077
3.48 steer -9547
3.49 steer 0
3.51 steer 19790
3.52 steer 41948
3.53 steer 44082
3.54 steer 49075
3.56 steer 52317
3.57 steer 54509
3.58 steer 55320
3.60 steer 56551
3.61 steer 56993
3.62 steer 57362
3.63 steer 57669
3.64 steer 57929
3.65 steer 58364
3.66 steer 58653
3.69 steer 58978
3.70 steer 58364
3.72 steer 35852
3.73 steer 19619
3.74 steer 0
3.76 steer -15143
3.77 steer -33268
3.78 steer -34966
3.79 steer -54157
3.80 steer -65536
3.98 steer -54008
3.99 steer -33866
4.00 steer -11269
4.01 steer 0
4.03 steer 18294
4.04 steer 22519
4.05 steer 25396
4.06 steer 42413
4.07 steer 43095
4.09 steer 43833
4.11 steer 43459
4.12 steer 42297
4.13 steer 37957
4.14 steer 19221
4.15 steer 16914
4.16 steer 1862
4.17 steer 0
5.36 steer 1042
5.37 steer 2678
5.38 steer 4011
5.39 steer 5460
5.40 steer 9216
5.42 steer 14094
5.43 steer 16761
5.44 steer 32472
5.45 steer 33272
