0.00-19.09 press up
0.53 steer 1169
0.54 steer 1733
0.56 steer 2298
0.85 steer 2863
1.07 steer 3427
1.10 steer 3992
1.11 steer 4557
1.12 steer 5121
1.14 steer 5686
1.16 steer 6250
2.43 steer 4557
2.44 steer 2298
2.45 steer 0
3.59 steer -2860
3.60 steer -5119
3.61 steer -8507
3.62 steer -10201
3.63 steer -11330
3.64 steer -13024
3.65 steer -14718
3.66 steer -15847
3.67 steer -16976
3.68 steer -18106
3.69 steer -19800
3.70 steer -20929
3.71 steer -22058
3.72 steer -23187
3.74 steer -23752
3.83 steer -24317
3.84 steer -24881
3.85 steer -25446
3.87 steer -26011
4.04 steer -25446
4.05 steer -24317
4.06 steer -23187
4.07 steer -22623
4.08 steer -20364
4.09 steer -16976
4.10 steer -14718
4.11 steer -10201
4.12 steer -6248
4.13 steer 0
4.44 steer -1731
4.45 steer -3425
4.46 steer -5119
4.47 steer -7378
4.48 steer -11330
4.49 steer -14153
4.50 steer -15283
4.51 steer -16412
4.52 steer -18106
4.53 steer -19235
4.54 steer -19800
4.55 steer -20929
4.56 steer -21494
4.57 steer -22058
4.58 steer -23752
4.59 steer -24317
4.60 steer -26011
4.61 steer -27140
4.62 steer -27705
4.69 steer -27140
4.70 steer -24881
4.71 steer -21494
4.72 steer -18106
4.73 steer -12459
4.74 steer -7378
4.75 steer -1731
4.76 steer 0
4.97 steer 5686
4.98 steer 10203
4.99 steer 14720
5.00 steer 20931
5.01 steer 26013
5.02 steer 36741
5.03 steer 45211
5.04 steer 54245
5.05 steer 55374
5.06 steer 55939
5.07 steer 57633
5.08 steer 58197
5.09 steer 59327
5.11 steer 59891
5.21 steer 59327
5.22 steer 58762
5.23 steer 58197
5.24 steer 57633
5.26 steer 57068
5.28 steer 56503
5.57 steer 57068
5.58 steer 57633
5.59 steer 58197
5.63 steer 58762
5.69 steer 59327
5.71 steer 58762
5.73 steer 59327
5.81 steer 59891
5.84 steer 60456
5.87 steer 61021
5.89 steer 61585
5.90 steer 62150
5.91 steer 63279
5.92 steer 63844
5.93 steer 64408
5.94 steer 64973
5.95 steer 65536
6.29-6.86 press down
6.56 steer 61021
6.57 steer 49163
6.58 steer 40129
6.59 steer 23190
6.60 steer 6815
6.61 steer 0
6.62 steer -5119
6.63 steer -5684
6.65 steer -5119
6.66 steer -4554
6.67 steer -5119
6.68 steer -6813
6.69 steer -10201
6.70 steer -13589
6.71 steer -16976
6.72 steer -25446
6.73 steer -37868
6.74 steer -49161
6.75 steer -64971
6.76 steer -65536
6.85 steer -62712
6.86 steer -42950
6.87 steer -31092
6.88 steer -12459
6.89 steer 0
6.91 steer 1169
6.92 steer 5686
6.93 steer 16414
6.94 steer 23190
6.95 steer 33353
6.96 steer 39564
6.97 steer 46905
6.98 steer 55939
6.99 steer 63279
7.00 steer 63844
7.05 steer 64408
7.07 steer 64973
7.08 steer 65536
7.85 steer 64973
7.87 steer 64408
7.89 steer 63844
7.90 steer 63279
7.91 steer 62715
7.92 steer 62150
7.93 steer 61021
7.94 steer 60456
7.96 steer 59891
7.98 steer 59327
7.99 steer 58762
8.01 steer 58197
8.04 steer 57633
8.07 steer 57068
8.09 steer 56503
8.11 steer 55939
8.15 steer 55374
8.18 steer 54810
8.20 steer 54245
8.22 steer 53680
8.23 steer 53116
8.24 steer 52551
8.25 steer 51986
8.26 steer 50292
8.27 steer 49163
8.28 steer 48034
8.29 steer 45211
8.30 steer 36741
8.31 steer 28836
8.32 steer 11897
8.33 steer 0
8.97 steer 1733
8.98 steer 2298
8.99 steer 2863
9.00 steer 3427
9.01 steer 4557
9.02 steer 5121
9.03 steer 5686
9.04 steer 7380
9.05 steer 9074
9.06 steer 10768
9.07 steer 11897
9.08 steer 13591
9.09 steer 14720
9.10 steer 16414
9.11 steer 17543
9.12 steer 18673
9.13 steer 19802
9.14 steer 20366
9.15 steer 21496
9.16 steer 22060
9.17 steer 22625
9.18 steer 23190
9.20 steer 23754
9.23 steer 24319
9.31 steer 24884
9.32 steer 25448
9.34 steer 26013
9.44 steer 27142
9.45 steer 27707
9.46 steer 28271
9.52 steer 27707
9.53 steer 27142
9.55 steer 26578
9.57 steer 26013
9.66 steer 25448
9.67 steer 24319
9.68 steer 23754
9.69 steer 23190
9.72 steer 22060
9.73 steer 20931
9.74 steer 18673
9.75 steer 13591
9.76 steer 6815
9.77 steer 0
10.00 steer -1167
10.01 steer -2296
10.02 steer -3425
10.03 steer -5684
10.04 steer -6813
10.05 steer -7942
10.06 steer -9636
10.07 steer -10765
10.14 steer -9636
10.15 steer -9071
10.16 steer -8507
10.17 steer -6813
10.18 steer -3425
10.19 steer -1167
10.20 steer 0
10.59 steer -1167
10.60 steer -2296
10.61 steer -3425
10.62 steer -4554
10.63 steer -5684
10.64 steer -6248
10.69 steer -6813
10.71 steer -7378
10.72 steer -7942
10.73 steer -9071
10.74 steer -9636
10.75 steer -10201
10.76 steer -11330
10.77 steer -11895
10.79 steer -12459
10.81 steer -13024
10.82 steer -13589
10.83 steer -14153
10.84 steer -15283
10.85 steer -16412
10.86 steer -17541
10.87 steer -18106
10.88 steer -19800
10.89 steer -20929
10.90 steer -21494
10.91 steer -22058
10.92 steer -22623
10.93 steer -23187
10.94 steer -23752
10.95 steer -24317
10.96 steer -25446
10.97 steer -26575
10.98 steer -28269
10.99 steer -29399
11.00 steer -31657
11.01 steer -32786
11.02 steer -34480
11.03 steer -35045
11.04 steer -35610
11.05 steer -36174
11.08 steer -36739
11.11 steer -37303
11.13 steer -37868
11.24 steer -38997
11.25 steer -40127
11.26 steer -41256
11.28 steer -42385
11.29 steer -42950
11.30 steer -44079
11.31 steer -45208
11.32 steer -46338
11.33 steer -47467
11.34 steer -48032
11.35 steer -49161
11.36 steer -49726
11.38 steer -50855
11.39 steer -53678
11.40 steer -56501
11.41 steer -62148
11.42 steer -65536
11.59 steer -63842
11.60 steer -58760
11.61 steer -54243
11.62 steer -49726
11.63 steer -46902
11.64 steer -46338
11.67 steer -47467
11.68 steer -49161
11.69 steer -51984
11.70 steer -56501
11.71 steer -60454
11.72 steer -65536
12.19 steer -64406
12.20 steer -51419
12.21 steer -40691
12.22 steer -33916
12.23 steer -27705
12.24 steer -18670
12.25 steer -15847
12.26 steer -16412
12.27 steer -18106
12.28 steer -24317
12.29 steer -31657
12.30 steer -44079
12.31 steer -55937
12.32 steer -63842
12.33 steer -64406
12.34 steer -62712
12.35 steer -56501
12.36 steer -43515
12.37 steer -31657
12.38 steer -24317
12.39 steer -18670
12.40 steer -19235
12.41 steer -21494
12.42 steer -32222
12.42-13.13 press down
12.43 steer -49726
12.44 steer -65536
12.86 steer -64971
12.87 steer -51419
12.88 steer -15283
12.89 steer 6250
12.90 steer 43517
12.91 steer 65536
13.66 steer 59327
13.67 steer 51986
13.68 steer 39564
13.69 steer 23754
13.70 steer 13591
13.71 steer 5121
13.72 steer 0
13.88 steer -2860
13.89 steer -8507
13.90 steer -12459
13.91 steer -16412
13.92 steer -22058
13.93 steer -24881
13.94 steer -27705
13.95 steer -29399
13.96 steer -32222
13.97 steer -34480
13.98 steer -38433
13.99 steer -40691
14.00 steer -45208
14.01 steer -51984
14.02 steer -57631
14.03 steer -63277
14.04 steer -65536
14.24 steer -63842
14.25 steer -63277
14.26 steer -61018
14.27 steer -59889
14.28 steer -58195
14.29 steer -57631
14.30 steer -55937
14.31 steer -54807
14.32 steer -52549
14.33 steer -50290
14.34 steer -44644
14.35 steer -36174
14.36 steer -29963
14.37 steer -17541
14.38 steer -9636
14.39 steer -1731
14.40 steer 0
15.46 steer 1733
15.47 steer 2863
15.48 steer 3992
15.49 steer 5686
15.50 steer 6815
15.51 steer 8509
15.52 steer 9638
15.53 steer 11332
15.54 steer 12462
15.55 steer 14155
15.56 steer 14720
15.57 steer 15849
15.58 steer 16414
15.60 steer 16979
15.64 steer 17543
15.65 steer 18108
15.66 steer 19237
15.67 steer 20931
15.68 steer 22625
15.69 steer 24319
15.70 steer 27707
15.71 steer 30530
15.72 steer 32224
15.75 steer 32789
15.92 steer 32224
15.93 steer 29401
15.94 steer 24884
15.95 steer 19237
15.96 steer 7380
15.97 steer 1733
15.98 steer 0
16.34 steer -1167
16.35 steer -2296
16.36 steer -4554
16.37 steer -7378
16.38 steer -9636
16.39 steer -10765
16.40 steer -11895
16.41 steer -13589
16.42 steer -14718
16.43 steer -15283
16.44 steer -16976
16.45 steer -18670
16.46 steer -19800
16.47 steer -21494
16.48 steer -23752
16.49 steer -26575
16.50 steer -27140
16.74 steer -27705
16.75 steer -28269
16.76 steer -29399
16.77 steer -29963
16.78 steer -31092
16.80 steer -31657
16.81 steer -32222
16.82 steer -32786
16.83 steer -33351
16.84 steer -33916
16.86 steer -34480
16.92 steer -32786
16.93 steer -31657
16.94 steer -29963
16.95 steer -27705
16.96 steer -24317
16.97 steer -20929
16.98 steer -14153
16.99 steer -6248
17.00 steer 0
17.42 steer 3992
17.43 steer 7944
17.44 steer 15849
17.45 steer 19802
17.46 steer 25448
17.47 steer 28836
17.48 steer 34482
17.49 steer 40694
17.50 steer 44646
17.51 steer 48598
17.52 steer 49728
17.53 steer 50292
17.55 steer 50857
17.56 steer 51986
17.57 steer 52551
17.58 steer 53116
17.59 steer 54245
17.60 steer 55374
17.61 steer 55939
17.62 steer 57068
17.63 steer 58197
17.65 steer 59327
17.73 steer 59891
17.76 steer 60456
17.79 steer 59891
17.81 steer 60456
17.82 steer 59891
17.85 steer 60456
17.89 steer 59891
17.91 steer 60456
18.07 steer 59891
18.08 steer 59327
18.09 steer 58762
18.10 steer 58197
18.11 steer 57633
18.13 steer 57068
18.14 steer 56503
18.15 steer 55939
18.16 steer 55374
18.17 steer 54810
18.18 steer 54245
18.22 steer 54810
18.31 steer 53680
18.32 steer 53116
18.33 steer 52551
18.34 steer 51986
18.35 steer 47469
18.36 steer 40694
18.37 steer 26578
18.38 steer 18108
18.39 steer 4557
18.40 steer 0
18.47 steer 1169
18.48 steer 6250
18.49 steer 25448
18.50 steer 42952
18.51 steer 61021
18.52 steer 65536
18.60-19.20 press down
19.71-21.19 press up
20.34 steer 55939
20.35 steer 47469
20.36 steer 28836
20.37 steer 10203
20.38 steer 0
20.39 steer -6248
20.40 steer -28269
20.41 steer -46902
20.42 steer -65536
20.67 steer -49726
20.68 steer -36174
20.69 steer -20929
20.70 steer 0
20.72 steer 5121
20.73 steer 27707
20.74 steer 43517
20.75 steer 65536
20.96 steer 59327
20.97 steer 45211
20.98 steer 19237
20.99 steer 0
21.01-22.15 press down
21.03 steer 6250
21.04 steer 29401
21.05 steer 45775
21.06 steer 65536
21.92-22.11 press up
22.25 press up
23.15 steer 64408
23.16 steer 61585
23.17 steer 60456
23.18 steer 58762
23.19 steer 53680
23.20 steer 47469
23.21 steer 32224
23.22 steer 18108
23.23 steer 0
23.68 steer 1169
23.69 steer 2298
23.70 steer 3427
23.71 steer 5686
23.72 steer 6250
23.73 steer 7380
23.74 steer 8509
23.75 steer 9074
23.76 steer 9638
23.78 steer 10203
23.81 steer 9638
23.85 steer 10768
23.86 steer 11897
23.87 steer 13026
23.88 steer 14155
23.89 steer 14720
23.90 steer 15285
23.91 steer 15849
23.92 steer 17543
23.93 steer 18673
23.94 steer 19802
24.04 steer 20366
24.05 steer 21496
24.07 steer 22060
24.20 steer 21496
24.30 steer 20931
24.46 steer 20366
24.58 steer 19802
24.61 steer 20366
24.62 steer 19802
24.64 steer 20366
24.67 steer 19802
24.70 steer 20366
24.71 steer 19802
24.80 steer 22060
24.81 steer 27142
24.82 steer 32224
24.83 steer 37306
24.84 steer 41823
24.85 steer 43517
24.86 steer 45775
24.87 steer 46905
24.88 steer 48034
24.89 steer 49163
24.90 steer 49728
24.91 steer 51422
24.93 steer 51986
25.04 steer 51422
25.05 steer 50292
25.06 steer 47469
25.07 steer 45211
25.08 steer 39564
25.09 steer 29401
25.10 steer 8509
25.11 steer -3990
25.12 steer -16412
25.13 steer -26575
25.14 steer -31657
25.15 steer -37303
25.16 steer -40691
25.17 steer -44079
25.18 steer -50855
25.19 steer -55372
25.20 steer -65536
25.92 steer -52549
25.93 steer -41256
25.94 steer -22058
25.95 steer -7942
25.96 steer 0
25.97 steer 1733
25.98 steer 18673
25.99 steer 37870
26.00 steer 50292
26.01 steer 52551
26.02 steer 53680
26.03 steer 54245
26.04 steer 54810
26.10 steer 54245
26.11 steer 54810
26.15 steer 54245
26.24 steer 52551
26.25 steer 50857
26.26 steer 44646
26.27 steer 29401
26.28 steer 13026
26.29 steer 0
26.34 steer 10768
26.35 steer 24884
26.36 steer 44646
26.37 steer 53680
26.41 steer 54810
26.42 steer 55939
26.43 steer 58197
26.44 steer 59327
26.45 steer 61585
26.46 steer 62715
26.47 steer 64973
26.48 steer 65536
26.49-26.67 press down
27.66 steer 54810
27.67 steer 44081
27.68 steer 24319
27.69 steer 5686
27.70 steer 0
28.28 steer -1167
28.29 steer -3425
28.30 steer -5684
28.31 steer -8507
28.32 steer -10201
28.33 steer -12459
28.34 steer -16976
28.35 steer -22058
28.36 steer -26575
28.37 steer -31657
28.38 steer -42385
28.39 steer -51419
28.40 steer -65536
28.61-28.73 press down
